arch,ts_code,entry_date,exit_date,hold_days,levels,pnl
A1,002352.SZ,2021-04-13,2021-05-18,22,2,7090.91782740003
A1,600031.SH,2021-05-12,2021-06-01,14,2,28112.84996143001
A1,002594.SZ,2021-02-26,2021-06-08,68,2,45018.89410410001
A1,002340.SZ,2021-06-08,2021-07-06,19,3,14735.951506840065
A1,000661.SZ,2021-05-25,2021-07-19,38,2,21222.88944174
A1,600031.SH,2021-06-15,2021-08-03,35,2,19963.345988880086
A1,600036.SH,2021-07-09,2021-08-18,28,1,414.6825705600004
A1,601919.SH,2021-07-26,2021-08-30,25,1,308.55059825000035
A1,002460.SZ,2021-08-17,2021-08-30,9,1,35268.06969990002
A1,300750.SZ,2021-08-17,2021-09-14,20,1,19148.41928376007
A1,002714.SZ,2021-05-25,2021-09-27,86,3,-120998.93400305999
A1,000858.SZ,2021-07-09,2021-09-27,54,2,15505.578097020043
A1,002594.SZ,2021-09-30,2021-10-15,6,1,12227.282198820001
A1,601318.SH,2021-04-16,2021-10-21,123,2,-44237.45950434002
A1,000651.SZ,2021-05-26,2021-10-22,99,3,-20272.041605339968
A1,600111.SH,2021-09-30,2021-10-25,12,1,43782.60256524003
A1,600089.SH,2021-10-11,2021-10-27,12,1,4762.1197710000015
A1,002466.SZ,2021-09-28,2021-11-09,25,1,21447.004006800038
A1,000858.SZ,2021-11-02,2021-11-24,16,1,14287.168380420073
A1,603259.SH,2021-11-05,2021-11-26,15,1,13196.82624264009
A1,601919.SH,2021-09-29,2021-11-30,39,2,12082.559413860145
A1,600030.SH,2021-11-17,2021-12-06,13,1,1901.3658174000084
A1,000651.SZ,2021-10-28,2021-12-09,30,1,2270.266720200045
A1,600036.SH,2021-11-29,2021-12-09,8,2,29443.227026400098
A1,601888.SH,2021-11-03,2022-02-10,65,3,24392.051704800106
A1,601012.SH,2021-12-02,2022-03-01,57,2,37451.78616060002
A1,603259.SH,2021-12-21,2022-03-17,56,2,50872.51157832
A1,000002.SZ,2022-03-07,2022-03-31,18,1,305.5393283300018
A1,300059.SZ,2022-02-15,2022-04-14,40,1,-161.4849004799944
A1,002594.SZ,2021-12-17,2022-05-05,88,2,-41678.63771903998
A1,000625.SZ,2021-11-17,2022-05-06,111,4,-50374.886216199986
A1,002475.SZ,2022-03-30,2022-05-11,25,1,434.419042500027
A1,300274.SZ,2022-04-15,2022-05-20,22,1,-467.51817631999984
A1,000858.SZ,2022-03-04,2022-05-30,56,1,-16906.98683321994
