date,n_positions,cash,candidate_count,k_full,cash_insufficient
2022-06-06,0,1327470.0441137527,0,0,0
2022-06-07,0,1327470.0441137527,0,0,0
2022-06-08,0,1327470.0441137527,0,0,0
2022-06-09,0,1327470.0441137527,0,0,0
2022-06-10,0,1327470.0441137527,0,0,0
2022-06-13,0,1327470.0441137527,0,0,0
2022-06-14,0,1327470.0441137527,0,0,0
2022-06-15,0,1327470.0441137527,0,0,0
2022-06-16,0,1327470.0441137527,0,0,0
2022-06-17,0,1327470.0441137527,0,0,0
2022-06-20,0,1327470.0441137527,0,0,0
2022-06-21,0,1327470.0441137527,0,0,0
2022-06-22,0,1327470.0441137527,0,0,0
2022-06-23,0,1327470.0441137527,1,0,0
2022-06-24,1,1127826.7583518326,0,0,0
2022-06-27,1,1127826.7583518326,0,0,0
2022-06-28,1,1127826.7583518326,0,0,0
2022-06-29,1,1127826.7583518326,0,0,0
2022-06-30,1,1127826.7583518326,0,0,0
