round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,return_pct,hold_days
160,601012.SH,,2023-03-17,2023-06-29,TAKE_PROFIT_DYN,5,27400,-177486.81922835985,-17.85,68
161,600036.SH,,2023-04-28,2023-07-25,TAKE_PROFIT_DYN,2,12200,-2488.6568134799018,-0.63,57
162,600809.SH,,2023-05-23,2023-07-25,TAKE_PROFIT_DYN,4,3800,75114.06182693993,9.67,43
163,300059.SZ,,2023-05-30,2023-07-25,TAKE_PROFIT_DYN,2,27900,12933.061394940014,3.24,38
164,002415.SZ,,2023-06-12,2023-07-27,TAKE_PROFIT_DYN,1,6200,18474.926569200034,9.25,31
165,300750.SZ,,2023-06-08,2023-07-31,TAKE_PROFIT_DYN,2,1800,31183.91318250005,8.02,35
166,688981.SH,,2023-05-10,2023-08-01,TAKE_PROFIT_DYN,1,3800,-3959.449609679985,-1.99,57
167,600570.SH,,2023-07-12,2023-08-04,TAKE_PROFIT_DYN,1,5300,25740.742140000046,12.94,17
168,300418.SZ,,2023-06-27,2023-08-14,TAKE_PROFIT_DYN,2,9200,-27941.093917199876,-7.11,34
169,600276.SH,,2023-08-01,2023-08-28,TAKE_PROFIT_DYN,3,14100,13381.668178560212,2.24,19
170,002230.SZ,,2023-08-17,2023-10-10,TAKE_PROFIT_DYN,4,14100,-31852.615259519895,-4.04,32
171,002475.SZ,,2023-09-08,2023-10-11,TAKE_PROFIT_DYN,1,6700,13314.679056360037,6.73,17
172,300760.SZ,,2023-08-08,2023-10-30,TAKE_PROFIT_DYN,4,2800,48211.904192760005,6.53,53
173,000858.SZ,,2023-08-21,2023-11-01,TAKE_PROFIT_DYN,3,3800,53266.74224652012,9.24,46
174,300014.SZ,,2023-02-21,2023-11-06,TAKE_PROFIT_DYN,5,14700,-281648.9383369199,-28.57,172
175,300059.SZ,,2023-10-24,2023-11-06,TAKE_PROFIT_DYN,1,13600,13519.154737440054,6.8,9
176,603019.SH,,2023-08-10,2023-11-07,TAKE_PROFIT_DYN,4,20300,16637.539537080098,2.1,57
177,300274.SZ,,2023-08-22,2023-11-09,TAKE_PROFIT_DYN,4,8700,15958.458323280094,2.06,51
178,300308.SZ,,2023-07-21,2023-11-13,TAKE_PROFIT_DYN,3,5200,-33155.849598299945,-5.69,75
179,000977.SZ,,2023-08-21,2023-11-13,TAKE_PROFIT_DYN,3,18100,45570.26646612026,7.71,54
180,601012.SH,,2023-08-22,2023-12-28,TAKE_PROFIT_DYN,5,40600,-116729.02027709957,-11.76,86
181,600519.SH,,2023-10-16,2023-12-29,TAKE_PROFIT_DYN,5,500,16123.757290740148,1.89,54
182,600009.SH,,2023-08-22,2024-01-16,TAKE_PROFIT_DYN,5,26400,-115923.1096148399,-11.7,98
183,601318.SH,,2023-11-10,2024-01-25,TAKE_PROFIT_DYN,3,14200,-13682.255974199972,-2.31,53
184,000651.SZ,,2023-12-21,2024-01-29,TAKE_PROFIT_DYN,1,6400,24123.425863679993,12.1,26
185,601138.SH,,2023-10-25,2024-02-06,TAKE_PROFIT_DYN,2,28500,44080.28114688001,11.05,73
186,000858.SZ,,2023-12-14,2024-02-06,TAKE_PROFIT_DYN,3,4500,16287.132442680188,2.81,37
187,600519.SH,,2024-01-18,2024-02-06,TAKE_PROFIT_DYN,1,100,9310.484870279994,5.91,13
188,300750.SZ,,2023-09-11,2024-02-08,TAKE_PROFIT_DYN,5,4700,-167937.8480346601,-18.0,101
189,002230.SZ,,2024-01-04,2024-02-08,TAKE_PROFIT_DYN,2,9400,14136.106295520032,3.59,25
190,300418.SZ,,2024-02-01,2024-02-19,TAKE_PROFIT_DYN,2,14300,157108.34253114002,39.43,6
191,000568.SZ,,2023-12-12,2024-02-21,TAKE_PROFIT_DYN,5,6100,10864.329438600107,1.11,44
192,300059.SZ,,2023-12-28,2024-02-21,TAKE_PROFIT_DYN,3,46300,35278.515833220095,5.9,32
193,000063.SZ,,2023-07-21,2024-02-22,TAKE_PROFIT_DYN,5,30800,-199335.00478121988,-20.14,141
194,000628.SZ,,2023-12-15,2024-02-23,TAKE_PROFIT_DYN,3,14700,265506.8459967001,44.68,43
195,000625.SZ,,2024-01-05,2024-02-26,TAKE_PROFIT_DYN,3,44900,75995.45562113996,12.69,30
196,301236.SZ,,2024-01-23,2024-02-26,TAKE_PROFIT_DYN,1,5500,30147.788335500052,15.2,18
197,002555.SZ,,2023-12-26,2024-02-28,TAKE_PROFIT_DYN,4,46500,139180.14511631988,17.47,39
198,000661.SZ,,2024-01-15,2024-02-28,TAKE_PROFIT_DYN,2,3100,20581.995222360012,5.32,26
199,300033.SZ,,2024-01-17,2024-02-28,TAKE_PROFIT_DYN,2,3100,44855.44634340011,11.48,24
200,002456.SZ,,2023-12-15,2024-03-01,TAKE_PROFIT_DYN,5,130000,91242.70100946014,9.13,48
201,603259.SH,,2024-01-31,2024-03-04,TAKE_PROFIT_DYN,2,7700,65036.19794364006,16.54,17
202,002594.SZ,,2023-08-15,2024-03-12,TAKE_PROFIT_DYN,5,4000,-156037.02204816008,-16.28,137
203,601012.SH,,2024-01-30,2024-03-12,TAKE_PROFIT_DYN,3,30800,91185.10978499998,15.27,24
204,002475.SZ,,2024-01-18,2024-03-19,TAKE_PROFIT_DYN,2,14800,28629.51614028,7.22,37
205,601318.SH,,2024-03-25,2024-04-29,TAKE_PROFIT_DYN,2,10100,32025.780640259967,8.1,23
206,600519.SH,,2024-04-09,2024-05-06,TAKE_PROFIT_DYN,3,300,25682.74993746,5.2,16
207,000977.SZ,,2024-04-11,2024-05-06,TAKE_PROFIT_DYN,1,5300,24748.613889120024,12.57,14
208,000628.SZ,,2024-04-01,2024-05-21,TAKE_PROFIT_DYN,3,8700,-131429.80281221983,-22.19,31
209,002129.SZ,,2024-01-31,2024-05-22,TAKE_PROFIT_DYN,4,66700,-52582.03172837978,-6.59,69
210,601138.SH,,2024-06-03,2024-06-14,TAKE_PROFIT_DYN,1,8700,34397.48160486008,17.24,8
211,002230.SZ,,2024-04-24,2024-06-18,TAKE_PROFIT_DYN,2,9500,21207.980158200022,5.34,35
212,600919.SH,,2024-04-29,2024-07-02,TAKE_PROFIT_DYN,2,51300,-12864.670996319968,-3.22,42
213,000977.SZ,,2024-05-29,2024-07-09,TAKE_PROFIT_DYN,1,5400,8939.030455080007,4.48,28
214,000625.SZ,,2024-04-17,2024-07-10,TAKE_PROFIT_DYN,3,40200,-21374.357564339996,-3.58,56
215,000725.SZ,,2024-05-29,2024-07-10,TAKE_PROFIT_DYN,2,99900,17991.33073056006,4.5,29
216,603019.SH,,2024-03-28,2024-07-17,TAKE_PROFIT_DYN,2,9000,-12591.667527119862,-3.17,73
217,000858.SZ,,2024-06-12,2024-07-17,TAKE_PROFIT_DYN,2,2800,-18564.405607439927,-4.86,25
218,600519.SH,,2024-06-12,2024-07-19,TAKE_PROFIT_DYN,3,300,2374.0348222801113,0.52,27
219,300750.SZ,,2024-06-11,2024-07-22,TAKE_PROFIT_DYN,2,2000,5233.44404880004,1.39,29
220,300059.SZ,,2024-07-01,2024-07-31,TAKE_PROFIT_DYN,2,38400,15702.777747360058,3.93,22
221,601012.SH,,2024-06-07,2024-08-05,TAKE_PROFIT_DYN,2,23700,-48698.94169601996,-12.18,40
222,600519.SH,,2024-07-31,2024-08-30,TAKE_PROFIT_DYN,1,100,6846.595743240003,4.98,22
223,002594.SZ,,2024-08-05,2024-08-30,TAKE_PROFIT_DYN,2,1600,23501.73805056006,6.38,19
224,002475.SZ,,2024-08-06,2024-08-30,TAKE_PROFIT_DYN,1,5600,17008.690406400012,8.54,18
225,002466.SZ,,2024-04-26,2024-09-11,TAKE_PROFIT_DYN,5,31500,-131116.9336784999,-13.21,94
226,300502.SZ,,2024-07-26,2024-09-13,TAKE_PROFIT_DYN,2,4300,55164.40179030009,13.96,35
227,601919.SH,,2024-07-09,2024-09-20,TAKE_PROFIT_DYN,5,78300,17212.42954926018,1.73,51
228,000063.SZ,,2024-08-23,2024-09-23,TAKE_PROFIT_DYN,1,8300,6772.520094120031,3.4,19
229,601138.SH,,2024-07-19,2024-09-24,TAKE_PROFIT_DYN,4,38100,-20350.1323317599,-2.55,45
230,300308.SZ,,2024-07-26,2024-09-24,TAKE_PROFIT_DYN,3,5300,42228.707845500205,7.2,40
231,601899.SH,,2024-07-24,2024-09-25,TAKE_PROFIT_DYN,4,52400,90192.29807412007,11.3,43
232,601127.SH,,2024-08-29,2024-09-25,TAKE_PROFIT_DYN,1,2800,23496.136947360035,11.86,17
233,600036.SH,,2024-09-10,2024-09-25,TAKE_PROFIT_DYN,1,6600,25289.52565788006,12.65,9
234,000858.SZ,,2024-08-23,2024-09-26,TAKE_PROFIT_DYN,4,6700,73073.60540964012,9.45,22
235,600809.SH,,2024-08-29,2024-09-26,TAKE_PROFIT_DYN,1,1200,19980.761819040054,10.27,18
