ts_code,signal_date,v1_entry,v2a_entry,v1_exit,v2a_exit,v1_type,v2a_type,v1_ret,v2a_ret,status,p2_rawhist_lt19,p2_rawhist_affected,entry_date_diff
002466.SZ,2021-12-20,2021-12-21,2021-12-21,2022-02-17,2022-02-17,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.837573601773871,1.837573601773871,MATCHED,19.0,False,0.0
002466.SZ,2022-04-25,2022-04-26,2022-04-26,2022-05-11,2022-05-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,41.854779546894,41.854779546894,MATCHED,19.0,False,0.0
002466.SZ,2022-08-19,2022-08-22,2022-08-22,2022-08-24,2022-08-24,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,13.385590477234006,13.385590477234006,MATCHED,19.0,False,0.0
002466.SZ,2022-09-01,2022-09-02,2022-09-02,2022-11-04,2022-11-04,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,0.41755742217796255,0.41755742217796255,MATCHED,19.0,False,0.0
002466.SZ,2024-04-25,2024-04-26,2024-04-26,2024-09-11,2024-09-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-13.212317215788726,-13.212317215788726,MATCHED,19.0,False,0.0
002475.SZ,2020-03-17,2020-03-18,2020-03-18,2020-04-28,2020-04-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,14.92275528149982,14.92275528149982,MATCHED,19.0,False,0.0
002475.SZ,2020-11-16,2020-11-17,2020-11-17,2020-12-23,2020-12-23,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.922943424348968,4.922943424348968,MATCHED,19.0,False,0.0
002475.SZ,2021-01-28,2021-01-29,2021-01-29,2021-04-19,2021-04-19,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-17.795635461958412,-17.795635461958412,MATCHED,19.0,False,0.0
002475.SZ,2022-02-08,2022-02-09,2022-02-09,2022-05-11,2022-05-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-17.15409169654668,-17.15409169654668,MATCHED,19.0,False,0.0
002475.SZ,2023-09-07,2023-09-08,2023-09-08,2023-10-11,2023-10-11,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.728014277472455,6.728014277472455,MATCHED,19.0,False,0.0
002475.SZ,2024-01-17,2024-01-18,2024-01-18,2024-03-19,2024-03-19,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.219372761109448,7.219372761109448,MATCHED,19.0,False,0.0
002475.SZ,2024-08-05,2024-08-06,2024-08-06,2024-08-30,2024-08-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.544910470004318,8.544910470004318,MATCHED,19.0,False,0.0
002475.SZ,2025-04-02,2025-04-03,2025-04-03,2025-05-07,2025-05-07,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.6625597634810965,3.6625597634810965,MATCHED,19.0,False,0.0
002475.SZ,2026-01-08,2026-01-09,2026-01-09,2026-04-08,2026-04-08,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.540552873571203,1.540552873571203,MATCHED,19.0,False,0.0
002475.SZ,2026-08-03,2026-08-04,2026-08-04,2026-08-25,2026-08-25,FINAL_SETTLE,FINAL_SETTLE,1.2862198685484683,1.2862198685484683,MATCHED,19.0,False,0.0
002506.SZ,2020-03-26,2020-03-27,2020-03-27,2020-05-21,2020-05-21,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-6.524016348081019,-6.524016348081019,MATCHED,19.0,False,0.0
002555.SZ,2023-12-25,2023-12-26,2023-12-26,2024-02-28,2024-02-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,17.471539089853273,17.471539089853273,MATCHED,19.0,False,0.0
002594.SZ,2021-02-24,2021-02-25,2021-02-25,2021-06-08,2021-06-08,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,16.160298578230066,16.160298578230066,MATCHED,19.0,False,0.0
002594.SZ,2021-07-16,2021-07-19,2021-07-19,2021-08-02,2021-08-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,25.77910857036041,25.77910857036041,MATCHED,19.0,False,0.0
002594.SZ,2021-09-29,2021-09-30,2021-09-30,2021-10-15,2021-10-15,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,17.089129638620165,17.089129638620165,MATCHED,19.0,False,0.0
002594.SZ,2021-12-16,2021-12-17,2021-12-17,2022-05-05,2022-05-05,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-1.5968178542206901,-1.5968178542206901,MATCHED,19.0,False,0.0
002594.SZ,2022-07-12,2022-07-13,2022-07-13,2022-11-04,2022-11-04,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-2.227087712436274,-2.227087712436274,MATCHED,19.0,False,0.0
002594.SZ,2023-03-10,2023-03-13,2023-03-13,2023-04-28,2023-04-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,7.839512102970262,7.839512102970262,MATCHED,19.0,False,0.0
002594.SZ,2023-08-14,2023-08-15,2023-08-15,2024-03-12,2024-03-12,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-16.277210987224258,-16.277210987224258,MATCHED,19.0,False,0.0
002594.SZ,2024-08-02,2024-08-05,2024-08-05,2024-08-30,2024-08-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.379967880191982,6.379967880191982,MATCHED,19.0,False,0.0
002594.SZ,2025-04-08,2025-04-09,2025-04-09,2025-05-13,2025-05-13,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,17.218917139643203,17.218917139643203,MATCHED,19.0,False,0.0
002709.SZ,2022-12-30,2023-01-03,2023-01-03,2023-01-30,2023-01-30,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,15.538268097973235,15.538268097973235,MATCHED,19.0,False,0.0
002714.SZ,2020-05-11,2020-05-12,2020-05-12,2020-06-18,2020-06-18,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-37.346517858183255,-37.346517858183255,MATCHED,19.0,False,0.0
002714.SZ,2021-05-24,2021-05-25,2021-05-25,2021-09-27,2021-09-27,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-18.715268930191936,-18.715268930191936,MATCHED,19.0,False,0.0
002714.SZ,2022-10-26,2022-10-27,2022-10-27,2022-12-06,2022-12-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.23244617556544,5.23244617556544,MATCHED,19.0,False,0.0
002812.SZ,2022-11-23,2022-11-24,2022-11-24,2023-01-06,2023-01-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,12.272962184274384,12.272962184274384,MATCHED,19.0,False,0.0
300014.SZ,2021-03-23,2021-03-24,2021-03-24,2021-04-20,2021-04-20,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,20.343646524893185,20.343646524893185,MATCHED,19.0,False,0.0
300014.SZ,2022-03-03,2022-03-04,2022-03-04,2022-06-01,2022-06-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,26.31764601662993,26.31764601662993,MATCHED,19.0,False,0.0
300014.SZ,2023-01-11,2023-01-12,2023-01-12,2023-02-01,2023-02-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.981985480381129,6.981985480381129,MATCHED,19.0,False,0.0
300014.SZ,2023-02-20,2023-02-21,2023-02-21,2023-11-06,2023-11-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-28.568832058383776,-28.568832058383776,MATCHED,19.0,False,0.0
300033.SZ,2024-01-16,2024-01-17,2024-01-17,2024-02-28,2024-02-28,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,11.478914185701258,11.478914185701258,MATCHED,19.0,False,0.0
300033.SZ,2025-01-02,2025-01-03,2025-01-03,2025-02-07,2025-02-07,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,23.218740081380986,23.218740081380986,MATCHED,19.0,False,0.0
300059.SZ,2020-09-09,2020-09-10,2020-09-10,2020-10-12,2020-10-12,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.052671012057143,4.052671012057143,MATCHED,19.0,False,0.0
300059.SZ,2021-02-22,2021-02-23,2021-02-23,2021-04-02,2021-04-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-9.75617275607125,-9.75617275607125,MATCHED,19.0,False,0.0
300059.SZ,2022-01-05,2022-01-06,2022-01-06,2022-04-14,2022-04-14,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-5.7513210082683415,-5.7513210082683415,MATCHED,19.0,False,0.0
300059.SZ,2022-08-02,2022-08-03,2022-08-03,2022-11-15,2022-11-15,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.3148602142200303,1.3148602142200303,MATCHED,19.0,False,0.0
300059.SZ,2023-03-07,2023-03-08,2023-03-08,2023-04-03,2023-04-03,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.704927557794763,6.704927557794763,MATCHED,19.0,False,0.0
300059.SZ,2023-05-29,2023-05-30,2023-05-30,2023-07-25,2023-07-25,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.238668828858134,3.238668828858134,MATCHED,19.0,False,0.0
300059.SZ,2023-10-23,2023-10-24,2023-10-24,2023-11-06,2023-11-06,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.795375111896212,6.795375111896212,MATCHED,19.0,False,0.0
300059.SZ,2023-12-27,2023-12-28,2023-12-28,2024-02-21,2024-02-21,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.900250298765934,5.900250298765934,MATCHED,19.0,False,0.0
300059.SZ,2024-06-28,2024-07-01,2024-07-01,2024-07-31,2024-07-31,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.9349979609446946,3.9349979609446946,MATCHED,19.0,False,0.0
300059.SZ,2025-01-02,2025-01-03,2025-01-03,2025-02-07,2025-02-07,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.568619214325684,5.568619214325684,MATCHED,19.0,False,0.0
