stop_pct,sample,stratum,n,mean_delta,trig_rate
-27.5,PRIMARY,-10to0,48,-2.4022797477469084,20.833333333333336
-27.5,PRIMARY,0to5,75,-0.9944724928769849,5.333333333333334
-27.5,PRIMARY,5to10,74,-0.6103399937953402,2.7027027027027026
-27.5,PRIMARY,10to20,58,-1.5311444887310606,5.172413793103448
-27.5,PRIMARY,gt20,20,-6.909132838323766,15.0
-27.5,SECONDARY,lt-30,623,15.041117892714073,100.0
-27.5,SECONDARY,-30to-20,1228,2.914705101714684,97.80130293159608
-27.5,SECONDARY,-20to-10,3589,-3.8529379431219932,74.86765115631096
-27.5,SECONDARY,-10to0,14455,-2.3780497119850987,18.95537876167416
-27.5,SECONDARY,0to5,22345,-0.8497971283341252,4.2694115014544645
-27.5,SECONDARY,5to10,22828,-0.8170686785063347,3.3029612756264237
-27.5,SECONDARY,10to20,18727,-1.229117891015771,3.967533507769531
-27.5,SECONDARY,gt20,5251,-3.5652927926457307,7.941344505808417
-30.0,PRIMARY,lt-30,1,-1.7427723731542173,100.0
-30.0,PRIMARY,-30to-20,7,5.213747924861431,100.0
-30.0,PRIMARY,-20to-10,16,-2.2244067135591266,68.75
-30.0,PRIMARY,-10to0,48,-1.7525136399390435,12.5
-30.0,PRIMARY,0to5,75,-0.19928411196168136,1.3333333333333335
-30.0,PRIMARY,5to10,74,-0.6700321243329024,2.7027027027027026
-30.0,PRIMARY,10to20,58,-0.5454590827314506,1.7241379310344827
-30.0,PRIMARY,gt20,20,-7.250094357277774,15.0
-30.0,SECONDARY,lt-30,623,12.698242269338511,100.0
-30.0,SECONDARY,-30to-20,1228,0.8566962721970061,94.95114006514657
-30.0,SECONDARY,-20to-10,3589,-4.5134071514646825,64.22401783226526
-30.0,SECONDARY,-10to0,14455,-2.057697583657974,14.202698028363889
-30.0,SECONDARY,0to5,22345,-0.7007873270111667,3.172969344372343
-30.0,SECONDARY,5to10,22828,-0.6797641189284582,2.5407394427895564
