ts_code,signal_date,entry_date,exit_date,exit_type,levels_used,hold_days,total_cost,proceeds,pnl,return_pct
300750.SZ,2022-09-01,2022-09-02,2022-12-07,TAKE_PROFIT_DYN,2,62,370418.2357075199,365239.15208316,-5179.083624359919,-1.3981718838619202
002371.SZ,2022-10-12,2022-10-13,2022-12-14,TAKE_PROFIT_DYN,1,44,180355.00811328,199468.43269920003,19113.42458592003,10.597667780822029
603259.SH,2022-11-28,2022-11-29,2022-12-29,TAKE_PROFIT_DYN,2,22,396635.23435536,423361.57144320005,26726.337087840075,6.738265986701266
600522.SH,2022-11-01,2022-11-02,2023-01-03,TAKE_PROFIT_DYN,2,43,396859.5166536,374332.56592679996,-22526.950726800016,-5.676303523410963
300274.SZ,2022-12-06,2022-12-07,2023-01-03,TAKE_PROFIT_DYN,2,18,390162.0867744599,438363.60902856,48201.52225410007,12.35423017458993
002241.SZ,2022-11-11,2022-11-14,2023-01-05,TAKE_PROFIT_DYN,2,37,398417.47761815996,432493.89719597995,34076.419577819994,8.552942953591648
002812.SZ,2022-11-23,2022-11-24,2023-01-06,TAKE_PROFIT_DYN,3,30,580060.1064257999,651250.6639335001,71190.55750770017,12.272962184274384
601012.SH,2022-12-22,2022-12-23,2023-01-18,TAKE_PROFIT_DYN,1,17,197228.2460148,219610.83325608002,22382.58724128001,11.348570853081775
000625.SZ,2022-12-28,2022-12-29,2023-01-30,TAKE_PROFIT_DYN,1,16,199024.50692123998,229682.03353452001,30657.52661328003,15.403895272762636
002709.SZ,2022-12-30,2023-01-03,2023-01-30,TAKE_PROFIT_DYN,2,14,394726.83229979995,456060.5457571801,61333.71345738013,15.538268097973235
300014.SZ,2023-01-11,2023-01-12,2023-02-01,TAKE_PROFIT_DYN,1,9,196828.74317105996,210571.29744048003,13742.55426942007,6.981985480381129
300750.SZ,2023-02-17,2023-02-20,2023-03-31,TAKE_PROFIT_DYN,3,29,517921.89469019993,536698.9921316401,18777.097441440157,3.6254689430868456
600519.SH,2023-03-08,2023-03-09,2023-03-31,TAKE_PROFIT_DYN,2,16,352343.485494,364175.5599,11832.07440599997,3.358107895598216
300059.SZ,2023-03-07,2023-03-08,2023-04-03,TAKE_PROFIT_DYN,2,18,397745.6319837,424414.1884725,26668.556488800037,6.704927557794763
300274.SZ,2023-03-14,2023-03-15,2023-04-18,TAKE_PROFIT_DYN,2,23,381202.80996797996,395965.59192612005,14762.781958140084,3.872684453553771
002594.SZ,2023-03-10,2023-03-13,2023-04-28,TAKE_PROFIT_DYN,2,33,387063.18626975996,417407.0516035201,30343.865333760157,7.839512102970262
000858.SZ,2023-04-10,2023-04-11,2023-05-22,TAKE_PROFIT_DYN,2,26,378045.83636819996,368031.8298699,-10014.006498299947,-2.6488868636941545
000651.SZ,2023-05-04,2023-05-05,2023-06-09,TAKE_PROFIT_DYN,3,25,593550.0859087799,630023.718627,36473.63271822012,6.144996620188443
601899.SH,2023-05-12,2023-05-15,2023-06-09,TAKE_PROFIT_DYN,1,19,198988.46155187997,212375.21363855997,13386.752086680004,6.727401168026937
600519.SH,2023-04-12,2023-04-13,2023-06-16,TAKE_PROFIT_DYN,2,43,331216.8940079999,352795.32308843994,21578.429080440023,6.514893856808776
601012.SH,2023-03-16,2023-03-17,2023-06-29,TAKE_PROFIT_DYN,5,68,994349.56168548,816862.7424571201,-177486.81922835985,-17.84953964554572
600036.SH,2023-04-27,2023-04-28,2023-07-25,TAKE_PROFIT_DYN,2,57,396388.92433139996,393900.26751792006,-2488.6568134799018,-0.6278320762058595
600809.SH,2023-05-22,2023-05-23,2023-07-25,TAKE_PROFIT_DYN,4,43,776400.23458998,851514.2964169199,75114.06182693993,9.67465728119054
300059.SZ,2023-05-29,2023-05-30,2023-07-25,TAKE_PROFIT_DYN,2,38,399332.62949579995,412265.69089073996,12933.061394940014,3.238668828858134
002415.SZ,2023-06-09,2023-06-12,2023-07-27,TAKE_PROFIT_DYN,1,31,199643.28576191995,218118.21233111998,18474.926569200034,9.253968396028046
300750.SZ,2023-06-07,2023-06-08,2023-07-31,TAKE_PROFIT_DYN,2,35,389064.7055294999,420248.61871199997,31183.91318250005,8.015096907867838
688981.SH,2023-05-09,2023-05-10,2023-08-01,TAKE_PROFIT_DYN,1,57,198838.27251287998,194878.8229032,-3959.449609679985,-1.9912914951639942
600570.SH,2023-07-11,2023-07-12,2023-08-04,TAKE_PROFIT_DYN,1,17,199000.47667499998,224741.21881500003,25740.742140000046,12.935015317595871
300418.SZ,2023-06-26,2023-06-27,2023-08-14,TAKE_PROFIT_DYN,2,34,392998.65709103993,365057.56317384006,-27941.093917199876,-7.109717403112448
600276.SH,2023-07-31,2023-08-01,2023-08-28,TAKE_PROFIT_DYN,3,19,596074.2630242399,609455.9312028001,13381.668178560212,2.244966610480217
002230.SZ,2023-08-16,2023-08-17,2023-10-10,TAKE_PROFIT_DYN,4,32,788394.3312445199,756541.715985,-31852.615259519895,-4.04018826584394
002475.SZ,2023-09-07,2023-09-08,2023-10-11,TAKE_PROFIT_DYN,1,17,197899.09038899996,211213.76944536,13314.679056360037,6.728014277472455
300760.SZ,2023-08-07,2023-08-08,2023-10-30,TAKE_PROFIT_DYN,4,53,737874.74356596,786086.64775872,48211.904192760005,6.5338873044717865
000858.SZ,2023-08-18,2023-08-21,2023-11-01,TAKE_PROFIT_DYN,3,46,576423.5291614799,629690.271408,53266.74224652012,9.240903528696505
300014.SZ,2023-02-20,2023-02-21,2023-11-06,TAKE_PROFIT_DYN,5,172,985860.8772011999,704211.93886428,-281648.9383369199,-28.568832058383776
