ts_code,name,entry_date,exit_date,levels_used,pnl,return_pct,hold_days,exit_date_bad20,levels_used_bad20,pnl_bad20,return_pct_bad20,hold_days_bad20,exit_date_madd,levels_used_madd,pnl_madd,return_pct_madd,hold_days_madd,exit_date_mcombined,levels_used_mcombined,pnl_mcombined,return_pct_mcombined,hold_days_mcombined
002594.SZ,比亚迪,2022-07-14,,,,,,2022-10-18,5.0,-34565.40406206001,-4.4,62.0,,,,,,2022-10-18,5.0,-34565.40406206001,-4.4,62.0
600036.SH,招商银行,2022-07-14,2022-08-31,3.0,-10710.010061279954,-1.81,34.0,2022-08-31,3.0,-10710.010061279954,-1.81,34.0,2022-08-31,3.0,-10710.010061279954,-1.81,34.0,2022-08-31,3.0,-10710.010061279954,-1.81,34.0
603259.SH,药明康德,2022-07-28,,,,,,2022-10-14,5.0,-82070.11217357998,-8.45,50.0,,,,,,2022-10-14,5.0,-82070.11217357998,-8.45,50.0
300059.SZ,东方财富,2022-08-03,2022-08-17,1.0,20681.001220319973,10.35,10.0,,,,,,2022-08-17,1.0,20681.001220319973,10.35,10.0,,,,,
002466.SZ,天齐锂业,2022-08-22,2022-08-23,1.0,22047.303530880017,11.24,1.0,,,,,,2022-08-23,1.0,22047.303530880017,11.24,1.0,,,,,
002271.SZ,东方雨虹,2022-08-24,2022-11-02,3.0,-51804.53946215985,-10.7,44.0,,,,,,2022-11-02,3.0,-53430.3593607599,-11.58,44.0,,,,,
300274.SZ,阳光电源,2022-09-01,2022-10-12,2.0,44445.70576530002,11.52,23.0,,,,,,2022-10-12,2.0,44445.70576530002,11.52,23.0,,,,,
300750.SZ,宁德时代,2022-09-02,,,,,,2022-10-19,1.0,-14314.007497119936,-7.53,27.0,,,,,,2022-10-19,1.0,-14314.007497119936,-7.53,27.0
600519.SH,贵州茅台,2022-10-13,2022-11-29,4.0,13393.85013990011,2.15,33.0,,,,,,2022-11-29,3.0,-6189.296565779892,-1.28,33.0,,,,,
000568.SZ,泸州老窖,2022-10-20,2022-12-01,4.0,66879.16965827998,8.9,30.0,2022-12-01,4.0,70413.97574501997,9.17,30.0,2022-12-01,4.0,70413.97574501997,9.17,30.0,2022-12-01,4.0,70413.97574501997,9.17,30.0
600519.SH,贵州茅台,2022-10-20,,,,,,2022-11-29,3.0,26821.252946160093,5.96,28.0,,,,,,2022-11-29,3.0,26821.252946160093,5.96,28.0
600887.SH,伊利股份,2022-10-21,,,,,,2022-12-01,3.0,35089.814039940014,5.89,29.0,,,,,,2022-12-01,3.0,35089.814039940014,5.89,29.0
002241.SZ,歌尔股份,2022-11-14,2022-12-20,1.0,15782.587603200023,7.92,26.0,,,,,,2022-12-20,1.0,15782.587603200023,7.92,26.0,,,,,
300274.SZ,阳光电源,2022-12-07,2022-12-30,2.0,38798.808619860036,9.94,17.0,2022-12-30,2.0,38798.808619860036,9.94,17.0,2022-12-30,2.0,38798.808619860036,9.94,17.0,2022-12-30,2.0,38798.808619860036,9.94,17.0
