date,equity
2022-12-28,2014317.118076155
2022-12-29,2011787.011154915
2022-12-30,2026301.006549235
2023-01-03,2025549.506549235
2023-01-04,2016895.006549235
2023-01-05,2023187.106549235
2023-01-06,2031174.306549235
2023-01-09,2029405.9065492349
2023-01-10,2044675.306549235
2023-01-11,2039159.106549235
2023-01-12,2043647.1633781749
2023-01-13,2043294.863378175
2023-01-16,2043419.963378175
2023-01-17,2045247.051903775
2023-01-18,2052654.299549895
2023-01-19,2050882.799549895
2023-01-20,2053502.999549895
2023-01-30,2069831.229431195
2023-01-31,2069588.129431195
2023-02-01,2069963.829431195
2023-02-02,2070251.129431195
2023-02-03,2070494.229431195
2023-02-06,2070383.729431195
2023-02-07,2070427.9294311951
2023-02-08,2070737.329431195
2023-02-09,2070626.829431195
2023-02-10,2070229.029431195
2023-02-13,2070383.729431195
2023-02-14,2070759.4294311951
2023-02-15,2070693.129431195
2023-02-16,2071024.629431195
2023-02-17,2070538.4294311951
2023-02-20,2072138.8221671951
2023-02-21,2071260.6374727953
2023-02-22,2064898.9589367954
2023-02-23,2071149.3589887954
2023-02-24,2056242.0589887954
2023-02-27,2050231.4589887955
2023-02-28,2054485.4589887955
2023-03-01,2060409.4589887955
2023-03-02,2041692.1589887955
2023-03-03,2048199.5589887954
2023-03-06,2057372.9589887955
2023-03-07,2046072.3589887954
2023-03-08,2039232.6036800954
2023-03-09,2029015.9036800954
2023-03-10,2032501.7036800955
2023-03-13,2015953.9036800954
2023-03-14,2002432.3036800956
2023-03-15,2002901.4036800954
2023-03-16,1987418.6036800954
2023-03-17,1977321.3036800956
2023-03-20,1997214.4946094155
2023-03-21,2038144.6946094157
2023-03-22,2043508.0946094156
2023-03-23,2054802.5179344155
2023-03-24,2066831.7179344157
2023-03-27,2080896.3179344155
2023-03-28,2056729.2179344157
2023-03-29,2073123.7179344157
2023-03-30,2076366.6179344156
2023-03-31,2093569.1448740757
2023-04-03,2095475.4876392758
2023-04-04,2081542.2876392757
2023-04-06,2080489.9876392758
2023-04-07,2079495.4876392758
2023-04-10,2105483.3876392758
2023-04-11,2090746.2376070756
2023-04-12,2068482.0376070756
2023-04-13,2069392.5673310757
2023-04-14,2087580.2673310756
2023-04-17,2097726.9673310756
2023-04-18,2101990.2406973755
2023-04-19,2097827.2406973755
2023-04-20,2090234.1406973756
2023-04-21,2085354.7406973757
2023-04-24,2074863.5406973755
2023-04-25,2081292.0406973755
2023-04-26,2079947.1406973756
2023-04-27,2082369.4406973757
2023-04-28,2089418.9016558158
2023-05-04,2091219.7016558158
2023-05-05,2104531.201655816
2023-05-08,2101094.973773936
2023-05-09,2108342.0737739354
2023-05-10,2105597.0737739354
2023-05-11,2103383.7737739356
2023-05-12,2095618.8737739357
2023-05-15,2105158.4122220557
2023-05-16,2102274.3122220556
2023-05-17,2095171.6122220557
2023-05-18,2094951.4122220557
2023-05-19,2096958.5122220556
2023-05-22,2105206.6084587555
2023-05-23,2094427.5427447557
2023-05-24,2095960.242744756
2023-05-25,2093544.4298851758
2023-05-26,2101668.329885176
2023-05-29,2096437.1298851757
2023-05-30,2086477.997991216
2023-05-31,2078707.8979912158
2023-06-01,2094683.200389376
2023-06-02,2120258.000389376
2023-06-05,2105276.600389376
2023-06-06,2097284.100389376
2023-06-07,2095427.373002856
2023-06-08,2103777.673002856
2023-06-09,2090679.4730028561
2023-06-12,2089528.387240936
2023-06-13,2104881.187240936
2023-06-14,2111474.687240936
2023-06-15,2138433.2872409364
2023-06-16,2157221.9440359357
2023-06-19,2159856.9440359357
2023-06-20,2161380.244035936
2023-06-21,2141788.244035936
2023-06-26,2125402.744035936
2023-06-27,2131022.9440359357
2023-06-28,2117171.164607936
2023-06-29,2111048.8646079362
2023-06-30,2113880.564607936
2023-07-03,2125051.4646079363
2023-07-04,2133998.8646079362
2023-07-05,2121579.764607936
2023-07-06,2118409.4646079363
2023-07-07,2105874.4646079363
2023-07-10,2107564.4646079363
2023-07-11,2112586.164607936
2023-07-12,2101790.8646079362
2023-07-13,2120812.8646079362
2023-07-14,2124080.564607936
2023-07-17,2117154.3646079362
2023-07-18,2118946.064607936
2023-07-19,2118972.4646079363
2023-07-20,2109868.7422832362
2023-07-21,2114086.2422832362
2023-07-24,2111560.689120836
2023-07-25,2129706.003964756
2023-07-26,2113815.3039647564
2023-07-27,2108513.7039647563
2023-07-28,2104056.6039647562
2023-07-31,2111521.1039647562
2023-08-01,2120056.1039647562
2023-08-02,2111646.175237756
2023-08-03,2104837.7752377563
2023-08-04,2109111.4045479563
2023-08-07,2095028.6045479563
2023-08-08,2099009.609764356
2023-08-09,2082755.6097643562
2023-08-10,2077626.8097643564
2023-08-11,2070941.9097643562
2023-08-14,2102417.2254736763
2023-08-15,2097352.9877831163
2023-08-16,2102663.2877831166
2023-08-17,2101347.020202156
2023-08-18,2072821.2202021563
2023-08-21,2050640.8202021564
2023-08-22,2065197.4969443963
2023-08-23,2037604.5969443964
