ts_code,category,years_with_data,min_rows_per_year
002873.SZ,suspended_or_missing_days,5,232
002878.SZ,suspended_or_missing_days,5,239
002880.SZ,suspended_or_missing_days,5,237
002883.SZ,suspended_or_missing_days,5,233
002884.SZ,suspended_or_missing_days,5,237
002890.SZ,suspended_or_missing_days,5,233
002893.SZ,suspended_or_missing_days,5,237
002902.SZ,suspended_or_missing_days,5,235
002917.SZ,suspended_or_missing_days,5,232
002931.SZ,suspended_or_missing_days,5,237
002933.SZ,suspended_or_missing_days,5,239
002940.SZ,suspended_or_missing_days,5,232
002943.SZ,suspended_or_missing_days,5,228
002948.SZ,suspended_or_missing_days,5,236
002951.SZ,suspended_or_missing_days,5,241
002971.SZ,suspended_or_missing_days,5,236
002973.SZ,suspended_or_missing_days,5,241
002975.SZ,suspended_or_missing_days,5,225
002976.SZ,suspended_or_missing_days,5,203
002977.SZ,suspended_or_missing_days,5,196
002978.SZ,suspended_or_missing_days,5,174
002979.SZ,suspended_or_missing_days,5,181
002980.SZ,suspended_or_missing_days,5,176
002981.SZ,suspended_or_missing_days,5,174
002982.SZ,suspended_or_missing_days,5,169
002983.SZ,suspended_or_missing_days,5,167
002984.SZ,suspended_or_missing_days,5,74
002985.SZ,suspended_or_missing_days,5,166
002986.SZ,suspended_or_missing_days,5,145
002987.SZ,suspended_or_missing_days,5,163
002988.SZ,suspended_or_missing_days,5,156
002989.SZ,suspended_or_missing_days,5,139
002990.SZ,suspended_or_missing_days,5,151
002991.SZ,suspended_or_missing_days,5,104
002992.SZ,suspended_or_missing_days,5,103
002993.SZ,suspended_or_missing_days,5,93
002995.SZ,suspended_or_missing_days,5,101
002996.SZ,suspended_or_missing_days,5,84
002997.SZ,suspended_or_missing_days,5,80
002998.SZ,suspended_or_missing_days,5,64
002999.SZ,suspended_or_missing_days,5,80
003000.SZ,suspended_or_missing_days,5,73
003001.SZ,suspended_or_missing_days,5,58
003002.SZ,suspended_or_missing_days,5,67
003003.SZ,suspended_or_missing_days,5,68
003004.SZ,suspended_or_missing_days,5,26
003005.SZ,suspended_or_missing_days,5,67
003006.SZ,suspended_or_missing_days,5,68
003007.SZ,suspended_or_missing_days,5,66
003008.SZ,suspended_or_missing_days,5,66
003009.SZ,suspended_or_missing_days,5,64
003010.SZ,suspended_or_missing_days,5,64
003011.SZ,suspended_or_missing_days,5,61
003012.SZ,suspended_or_missing_days,5,54
003013.SZ,suspended_or_missing_days,5,51
003015.SZ,suspended_or_missing_days,5,52
003016.SZ,suspended_or_missing_days,5,49
003017.SZ,suspended_or_missing_days,5,49
003018.SZ,suspended_or_missing_days,5,40
003019.SZ,suspended_or_missing_days,5,33
