total_return_pct,cagr_pct,sharpe,maxdd_pct,n_trades,win_rate_pct,profit_factor,payoff_ratio,avg_holding_days,avg_exposure_pct,sim_id,seed
83.583,9.573,0.5249,-35.7,112,75.0,1.5365,0.5122,31.3,59.29,189,231
-36.461,-6.597,-0.1581,-50.431,52,73.08,1.0672,0.3932,32.7,77.48,190,232
-8.334,-1.301,0.0829,-54.045,115,67.83,0.8207,0.3893,29.8,66.14,191,233
-44.546,-8.491,-0.2108,-67.794,111,66.67,0.8379,0.419,30.9,65.61,192,234
-29.099,-5.044,0.0072,-50.806,73,65.75,0.9564,0.4981,34.0,66.94,193,235
-83.264,-23.588,-0.5428,-86.003,78,67.95,0.719,0.3392,29.6,77.7,194,236
68.875,8.205,0.4664,-36.978,86,68.6,1.7143,0.7845,31.9,59.12,195,237
-43.155,-8.149,-0.1705,-62.111,104,61.54,0.6537,0.4086,35.1,72.5,196,238
134.296,13.67,0.6561,-37.463,112,70.54,1.8886,0.7889,31.3,52.63,197,239
16.153,2.279,0.2208,-45.089,106,62.26,1.1296,0.6846,33.7,65.67,198,240
67.899,8.111,0.4524,-54.045,117,69.23,1.2855,0.5713,29.8,60.15,199,241
