hit_mid_20d,hit_mid_40d,hit_mid_60d,hit_mid_120d,hit_upper_20d,hit_upper_40d,hit_upper_60d,hit_upper_120d,days_to_mid,days_to_upper,ret_20d,ret_40d,mfe,mae,ts_code,entry_date,selected
False,False,False,False,False,False,False,False,,,3.1226837678450803,-3.768687887794564,11.848449317431964,-36.63904333879518,601012.SH,2024-01-30,Amount
False,False,False,False,False,False,False,False,,,1.4317038055910558,8.101591781117023,13.808051493511453,-6.942711097013754,601318.SH,2024-03-25,Amount
False,False,False,False,False,False,False,False,,,-39.549978816994525,-39.53690288768822,0.0,-55.332625489693555,000628.SZ,2024-04-01,Amount
False,False,False,False,False,False,False,False,,,-0.15480534853988814,1.8492362268125007,63.343114703378525,-15.994969581119612,000977.SZ,2024-05-29,Amount
False,False,False,False,False,False,False,False,,,-6.713975679492911,-6.438389197009875,12.645974714940266,-21.251162630472965,000625.SZ,2024-05-07,Amount
False,False,False,False,False,False,False,False,,,-1.5249790523720441,-15.589888713725786,2.233924851249669,-29.634145056927753,603019.SH,2024-03-28,Amount
False,False,False,False,False,False,False,False,,,-6.953598228766,-13.509309482463838,28.730330072611963,-14.552263545552124,601919.SH,2024-07-15,Amount
False,False,True,True,False,False,False,False,47.0,,-15.233806618045065,-23.5146233921244,15.44192842682024,-26.166116447864074,601138.SH,2024-07-19,Amount
False,False,False,False,False,False,False,False,,,0.4592422502870619,-1.7152002226628937,23.4462055357578,-13.395062648793976,601899.SH,2024-07-24,Amount
False,False,False,False,False,False,False,False,,,12.494029625972036,3.364164486703447,34.893023520705,-11.636996562062663,600150.SH,2024-09-23,Amount
False,False,False,False,False,False,False,False,,,15.602872201112694,19.79223122918139,31.247052068166447,-17.208890815928925,600418.SH,2024-11-28,Amount
