ts_code,date,level,avg_cost,entry_date,adjT,pstar_raw,threshold,eff_threshold,early_exit_pct,high_raw,close_raw,gap_raw,gap_legal,gap_eff,pct_legal,pct_eff,triggered,hold_days,float_pnl,adj_changed,pstar_old
300014.SZ,2023-07-14,5,67.0654,2023-02-21,17.877,61.85858272322249,61.86,61.86,0.0,58.35,57.58,3.5085827232224887,3.509999999999998,3.509999999999998,0.05674102812803101,0.05674102812803101,False,97,-139434.88,True,61.919386502906704
600809.SH,2023-07-14,3,210.1835,2023-05-23,6.336,221.74122413205464,221.75,221.75,0.0,215.61,211.0,6.131224132054626,6.139999999999986,6.139999999999986,0.027688838782412566,0.027688838782412566,False,36,2286.25,True,225.1663050139843
300418.SZ,2023-07-14,1,44.5561,2023-06-27,4.042,65.77298841614517,65.78,65.78,0.0,39.93,39.1,25.842988416145168,25.85,25.85,0.39297658862876256,0.39297658862876256,False,13,-24006.76,False,65.77298841614517
300014.SZ,2023-07-17,5,67.0654,2023-02-21,17.877,61.84387471327366,61.85,61.85,0.0,57.55,56.81,4.293874713273659,4.300000000000004,4.300000000000004,0.0695230396119645,0.0695230396119645,False,98,-150753.88,True,61.883701669089646
600809.SH,2023-07-17,3,210.1835,2023-05-23,6.336,220.5334785483801,220.54,220.54,0.0,211.24,210.84,9.29347854838008,9.299999999999983,9.299999999999983,0.04216922100299258,0.04216922100299258,False,37,1838.25,True,223.1436897534649
300418.SZ,2023-07-17,1,44.5561,2023-06-27,4.042,64.224648632715,64.23,64.23,0.0,40.38,39.18,23.844648632715,23.85,23.85,0.3713218122372723,0.3713218122372723,False,14,-23654.76,False,64.224648632715
300014.SZ,2023-07-18,5,67.0654,2023-02-21,17.877,61.71190103462552,61.72,61.72,0.0,57.5,56.7,4.2119010346255195,4.219999999999999,4.219999999999999,0.06837329876863252,0.06837329876863252,False,99,-152370.88,False,61.71190103462552
600809.SH,2023-07-18,3,210.1835,2023-05-23,6.336,219.10287984383763,219.11,219.11,0.0,213.2,211.41,5.902879843837638,5.910000000000025,5.910000000000025,0.026972753411528567,0.026972753411528567,False,38,3434.25,True,220.7759911256858
300418.SZ,2023-07-18,1,44.5561,2023-06-27,4.042,60.40863271187168,60.410000000000004,60.410000000000004,0.0,40.95,39.3,19.45863271187168,19.46,19.46,0.32213209733487835,0.32213209733487835,False,15,-23126.76,False,60.40863271187168
300014.SZ,2023-07-19,5,67.0654,2023-02-21,17.877,61.69381216979228,61.7,61.7,0.0,57.0,56.05,4.693812169792281,4.700000000000003,4.700000000000003,0.07617504051863862,0.07617504051863862,False,100,-161925.88,False,61.69381216979228
