date,equity,cash,stock_val,etf_val
2020-12-11,1111033.4481751749,497753.44817517494,613280.0,0.0
2020-12-14,1105409.4481751749,497753.44817517494,607656.0,0.0
2020-12-15,1110440.791375175,299021.79137517494,811419.0,0.0
2020-12-16,1115224.788623175,103575.78862317494,1011649.0,0.0
2020-12-17,1133698.788623175,103575.78862317494,1030123.0,0.0
2020-12-18,1141626.788623175,103575.78862317494,1038051.0,0.0
2020-12-21,1161945.058723175,567855.058723175,594090.0,0.0
2020-12-22,1156508.058723175,567855.058723175,588653.0,0.0
2020-12-23,1162471.969283175,783526.969283175,378945.0,0.0
2020-12-24,1161904.969283175,783526.969283175,378378.0,0.0
2020-12-25,1156549.969283175,783526.969283175,373023.0,0.0
2020-12-28,1165306.969283175,783526.969283175,381780.0,0.0
2020-12-29,1167007.969283175,783526.969283175,383481.0,0.0
2020-12-30,1169527.969283175,783526.969283175,386001.0,0.0
2020-12-31,1173748.969283175,783526.969283175,390222.0,0.0
2021-01-04,1179796.969283175,783526.969283175,396270.0,0.0
2021-01-05,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-06,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-07,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-08,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-11,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-12,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-13,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-14,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-15,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-18,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-19,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-20,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-21,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-22,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-25,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-26,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-27,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-28,1193234.5864131749,1193234.5864131749,0.0,0.0
2021-01-29,1194646.971281175,803074.9712811749,391572.0,0.0
2021-02-01,1193811.535391175,626352.535391175,567459.0,0.0
2021-02-02,1199325.452041175,427903.452041175,771422.0,0.0
2021-02-03,1189291.452041175,427903.452041175,761388.0,0.0
2021-02-04,1202295.701341175,232657.70134117498,969638.0,0.0
2021-02-05,1197486.701341175,232657.70134117498,964829.0,0.0
2021-02-08,1197943.701341175,232657.70134117498,965286.0,0.0
2021-02-09,1206983.701341175,232657.70134117498,974326.0,0.0
2021-02-10,1226001.701341175,232657.70134117498,993344.0,0.0
2021-02-18,1231187.701341175,232657.70134117498,998530.0,0.0
2021-02-19,1238879.701341175,232657.70134117498,1006222.0,0.0
2021-02-22,1219417.701341175,232657.70134117498,986760.0,0.0
2021-02-23,1229195.701341175,232657.70134117498,996538.0,0.0
2021-02-24,1207009.701341175,232657.70134117498,974352.0,0.0
2021-02-25,1222956.032689175,876186.032689175,346770.0,0.0
2021-02-26,1212268.198601175,483645.19860117504,728623.0,0.0
2021-03-01,1247230.198601175,483645.19860117504,763585.0,0.0
2021-03-02,1254150.198601175,483645.19860117504,770505.0,0.0
2021-03-03,1260948.198601175,483645.19860117504,777303.0,0.0
2021-03-04,1213150.198601175,483645.19860117504,729505.0,0.0
2021-03-05,1216124.198601175,483645.19860117504,732479.0,0.0
