date,leg,action,gross,fee,net,shares,px
2022-02-07,stock,buy,192824.63199999998,50.134404319999994,-192874.76640432,800,241.03078999999997
2022-02-07,etf,buy,5660.9553,5.0,-5665.9553,2100,2.693
2022-02-11,etf,sell,37706.256,9.426564,37696.829436,14000,2.696
2022-02-11,stock,buy,40240.2,10.462451999999999,-40250.662452,600,67.067
2022-03-01,stock,sell,643356.0,810.62856,642545.37144,8000,80.4195
2022-03-03,etf,buy,440039.1996,110.0097999,-440149.2093999,168300,2.612
2022-03-04,stock,buy,198175.97799999994,51.52575427999999,-198227.50375427995,1100,180.15997999999996
2022-03-04,etf,buy,1813.4116,5.0,-1818.4116,700,2.588
2022-03-08,etf,sell,198659.14199999996,49.664785499999994,198609.47721449996,78600,2.53
2022-03-08,stock,buy,199170.97199999998,51.78445272,-199222.75645271997,900,221.30107999999998
2022-03-08,etf,sell,199417.38299999997,49.85434574999999,199367.52865424997,78900,2.53
2022-03-08,stock,buy,185777.59199999998,48.302173919999994,-185825.89417391998,400,464.44397999999995
2022-03-08,etf,sell,29065.904999999995,7.266476249999999,29058.638523749996,11500,2.53
2022-03-08,stock,buy,34031.998,8.84831948,-34040.84631948,200,170.15999
2022-03-08,etf,buy,7921.513599999998,5.0,-7926.513599999998,3200,2.473
2022-03-10,etf,sell,8139.0527999999995,5.0,8134.0527999999995,3200,2.546
2022-03-10,etf,buy,8152.143999999999,5.0,-8157.143999999999,3200,2.545
2022-04-12,etf,sell,4251.744,5.0,4246.744,3200,1.33
2022-04-12,etf,buy,4250.646399999999,5.0,-4255.646399999999,3200,1.327
2022-04-21,etf,sell,4350.8448,5.0,4345.8448,3200,1.361
2022-04-21,etf,buy,4257.4532,5.0,-4262.4532,3100,1.372
2022-05-05,stock,sell,769238.991,969.2411286600001,768269.74987134,3100,248.14161000000001
2022-05-09,stock,buy,197397.19999999998,51.323272,-197448.523272,5800,34.034
2022-05-11,stock,buy,199719.52,51.9270752,-199771.44707519998,5800,34.4344
2022-05-16,stock,buy,199094.89599999995,51.764672959999984,-199146.66067295996,6200,32.11207999999999
2022-05-16,etf,buy,171953.88209999996,42.98847052499999,-171996.87057052494,134100,1.281
2022-05-30,stock,sell,214558.227,270.34336602,214287.88363398,1300,165.04479
2022-05-30,etf,buy,214235.52149999997,53.558880374999994,-214289.08038037497,163500,1.309
2022-06-02,stock,sell,442946.61,558.1127286000001,442388.4972714,1000,442.94660999999996
2022-06-06,stock,sell,618287.094,779.0417384400001,617508.05226156,17800,34.73523
2022-06-24,stock,buy,199591.39199999996,51.89376191999999,-199643.28576191995,6200,32.192159999999994
2022-07-13,stock,buy,185585.4,48.252204,-185633.65220399998,600,309.30899999999997
2022-07-14,stock,buy,197198.001,51.271480260000004,-197249.27248026,5300,37.20717
2022-07-18,stock,buy,197036.83999999997,51.229578399999994,-197088.06957839997,5600,35.18514999999999
2022-07-18,etf,buy,280213.0331,70.053258275,-280283.086358275,226300,1.237
2022-08-04,etf,sell,198743.6574,49.68591435,198693.97148565,150600,1.321
2022-08-04,stock,buy,196843.647,51.17934822,-196894.82634822,5900,33.36333
2022-08-04,etf,buy,1716.4146999999998,5.0,-1721.4146999999998,1300,1.319
2022-08-05,stock,sell,205572.222,259.02099972,205313.20100028,6200,33.15681
2022-08-05,etf,buy,205292.68759999998,51.3231719,-205344.01077189998,154900,1.324
2022-08-09,etf,sell,198725.076,49.681269,198675.394731,150700,1.32
