date,K1,K2,K3
2021-08-13,1.7699149808359873,1.559472871825208,1.5995043385241734
2021-08-16,1.7627156415859868,1.556417832575208,1.5961898812141735
2021-08-17,1.7673656415859869,1.5177494325752081,1.5537349138141734
2021-08-18,1.7722156415859869,1.519812232575208,1.5704305138141734
2021-08-19,1.7501156415859869,1.491683832575208,1.5733197138141735
2021-08-20,1.7551846415859869,1.428755832575208,1.5146817138141733
2021-08-23,1.788150641585987,1.444796632575208,1.5372433138141735
2021-08-24,1.7972156415859868,1.4627386325752079,1.5690993138141736
2021-08-25,1.794936641585987,1.492662232575208,1.5909865138141734
2021-08-26,1.792390641585987,1.450039432575208,1.5488989138141733
2021-08-27,1.788140641585987,1.439304632575208,1.5656931559071638
2021-08-30,1.7929866415859868,1.4450526325752078,1.5719011559071638
2021-08-31,1.8014886415859868,1.4243258325752077,1.5521863559071636
2021-09-01,1.7984496415859867,1.444574232575208,1.5723887559071636
2021-09-02,1.790590641585987,1.419085032575208,1.5461175559071638
2021-09-03,1.794115641585987,1.435792632575208,1.5633311559071639
2021-09-06,1.8042306415859868,1.4683078325752081,1.5957083559071636
2021-09-07,1.8033946415859867,1.469409832575208,1.5968103559071636
2021-09-08,1.7915156415859868,1.446729032575208,1.5735315559071639
2021-09-09,1.7880206415859872,1.4454546325752078,1.571843155907164
2021-09-10,1.786555641585987,1.467784232575208,1.5942187559071637
2021-09-13,1.775335641585987,1.442334232575208,1.5678487559071637
2021-09-14,1.7868285195079396,1.4464104422971606,1.5718789656291163
2021-09-15,1.7757258195079395,1.4148258422971605,1.5395123656291163
2021-09-16,1.7821508732329394,1.4115438422971605,1.5366903656291164
2021-09-17,1.7958113732329397,1.4339808422971605,1.5598173656291165
2021-09-22,1.7551670374329396,1.3898599294171605,1.5131204527491164
2021-09-23,1.7668213374329396,1.3958868294171607,1.5201133527491162
2021-09-24,1.7876624374329395,1.4191821294171605,1.5441906527491163
2021-09-27,1.8315549178633597,1.474663072072459,1.6004535954044146
2021-09-28,1.8140858572533598,1.4593866114624587,1.5839810670694146
2021-09-29,1.7716158942533597,1.4317389151624589,1.5543510163694145
2021-09-30,1.7963633942533597,1.4737289151624589,1.6094495163694145
2021-10-08,1.78433119425336,1.4434909151624589,1.5790765163694145
2021-10-11,1.7766965942533597,1.4372699151624588,1.5755675163694145
2021-10-12,1.76311189425336,1.4136399151624588,1.5414270163694146
2021-10-13,1.7697062942533601,1.4291909151624589,1.5693470163694145
2021-10-14,1.7650136942533599,1.4195279151624587,1.5544880163694146
2021-10-15,1.7593390942533598,1.4171099151624589,1.5563810163694145
2021-10-18,1.7776590942533599,1.4527199151624588,1.5925190163694145
2021-10-19,1.8119818942533599,1.4847589151624587,1.6175650163694144
2021-10-20,1.79661559425336,1.4675439151624587,1.6096065163694144
2021-10-21,1.79638659425336,1.4570549151624588,1.6159175163694146
2021-10-22,1.7957577942533596,1.4363849151624588,1.5878015163694146
2021-10-25,1.8062917942533598,1.4509469151624588,1.6230499312956173
2021-10-26,1.81617369425336,1.4648549151624588,1.6381492312956174
2021-10-27,1.8091794942533597,1.450788915162459,1.6238514542156173
2021-10-28,1.7979623942533596,1.4197909151624588,1.5913906477406174
2021-10-29,1.8181958942533596,1.4479379151624587,1.6207536477406175
2021-11-01,1.8242002942533595,1.4256969151624588,1.5992214477406173
2021-11-02,1.8229116942533599,1.4330989151624587,1.6005202477406173
2021-11-03,1.8389765942533598,1.4476799151624589,1.6127020477406173
2021-11-04,1.8438010942533596,1.4474029151624588,1.6127250477406172
2021-11-05,1.8401952942533595,1.4531299151624588,1.6168344477406171
2021-11-08,1.8392365942533597,1.4874789151624588,1.6471610477406173
2021-11-09,1.8368844942533598,1.4980048905897536,1.653339894017912
2021-11-10,1.8256052942533596,1.4881596905897534,1.634421494017912
2021-11-11,1.8210485942533599,1.4844394905897536,1.6469275940179122
2021-11-12,1.8158863942533596,1.4795162905897536,1.6347141940179122
2021-11-15,1.8126139316933598,1.4739682572297532,1.634762131457912
2021-11-16,1.8345647316933595,1.4967734706497535,1.660698615477912
2021-11-17,1.8383678316933596,1.4971138687547534,1.659611742507912
2021-11-18,1.82985383169336,1.4918648687547533,1.648907742507912
2021-11-19,1.8423320316933596,1.5033132687547535,1.660627942507912
2021-11-22,1.8474674316933597,1.5093230687547536,1.664909342507912
2021-11-23,1.8311099316933597,1.4981400687547535,1.657692842507912
2021-11-24,1.8264839316933597,1.4905810687547536,1.6474888425079122
2021-11-25,1.8386820316933596,1.4961772687547534,1.647767942507912
2021-11-26,1.8124013316933596,1.4782588687547533,1.630628242507912
2021-11-29,1.8658865316933595,1.5302722687547534,1.6772972441979122
2021-11-30,1.8730832965034296,1.5413929427398232,1.6898382090079818
2021-12-01,1.8656105024234293,1.544420479209823,1.7047589454779817
2021-12-02,1.8405660983034293,1.532093275089823,1.6968573413579817
2021-12-03,1.8457718607434295,1.5389198375298232,1.6989823037979817
2021-12-06,1.8396412607434294,1.553071045598491,1.7212738431166497
2021-12-07,1.869447360743429,1.5794385455984912,1.76294674311665
2021-12-08,1.8903914607434291,1.5959020455984911,1.7709286431166498
2021-12-09,1.8963554607434292,1.601866045598491,1.784066364354136
2021-12-10,1.9032823607434295,1.610147545598491,1.791509364354136
2021-12-13,1.9240417607434295,1.627572545598491,1.8109983643541359
2021-12-14,1.9009096607434293,1.607879045598491,1.7891763643541359
2021-12-15,1.8852701607434292,1.593802545598491,1.774132364354136
2021-12-16,1.913434460743429,1.6157178495984912,1.799853168354136
2021-12-17,1.8656871607434293,1.571588621163491,1.752563439919136
2021-12-20,1.8351696607434294,1.540473174163491,1.718450528239136
2021-12-21,1.8454841607434294,1.557668674163491,1.7336751330541358
2021-12-22,1.8497882607434295,1.561032974163491,1.7391981330541357
2021-12-23,1.8640982607434293,1.567804974163491,1.7510551330541357
2021-12-24,1.8549174607434291,1.533802574163491,1.6887160053041361
2021-12-27,1.8590419607434292,1.530474074163491,1.686367505304136
2021-12-28,1.8973796607434292,1.567071174163491,1.7247566053041359
2021-12-29,1.9033798607434291,1.5675557741634911,1.715968205304136
2021-12-30,1.8973861607434293,1.558124674163491,1.7196701053041359
2021-12-31,1.9290275607434293,1.5941668741634911,1.7549363053041358
2022-01-04,1.9277161607434292,1.593168674163491,1.7344261053041359
