ts_code,signal_date,old_report_period,new_report_period,old_ann_date,new_ann_date,changed
600261.SH,2020-03-12,20190930,20190930,20191029,20191029,0
600422.SH,2020-03-12,20190930,20190930,20191021,20191021,0
603811.SH,2020-03-12,20190930,20190930,20191029,20191029,0
603998.SH,2020-03-12,20190930,20190930,20191030,20191030,0
300616.SZ,2020-03-12,20190930,20190930,20191030,20191030,0
002690.SZ,2020-03-12,20190930,20190930,20191024,20191024,0
603598.SH,2020-03-12,20190930,20190930,20191031,20191031,0
002379.SZ,2020-03-12,20190930,20190930,20191031,20191031,0
601811.SH,2020-03-12,20190930,20190930,20191030,20191030,0
600288.SH,2020-03-12,20190930,20190930,20191024,20191024,0
600271.SH,2020-03-12,20190930,20190930,20191031,20191031,0
600968.SH,2020-03-12,20190930,20190930,20191029,20191029,0
600613.SH,2020-03-12,20190930,20190930,20191031,20191031,0
603506.SH,2020-03-12,20190930,20190930,20191030,20191030,0
002092.SZ,2020-03-12,20190930,20190930,20191024,20191024,0
600096.SH,2020-03-12,20190930,20190930,20191026,20191026,0
300244.SZ,2020-03-12,20190930,20190930,20191025,20191025,0
000620.SZ,2020-03-12,20190930,20190930,20191030,20191030,0
603037.SH,2020-03-12,20190930,20190930,20191030,20191030,0
600059.SH,2020-03-12,20190930,20190930,20191025,20191025,0
002042.SZ,2020-03-12,20190930,20190930,20191030,20191030,0
603878.SH,2020-03-12,20190930,20190930,20191025,20191025,0
002118.SZ,2020-03-12,20190930,20190930,20191024,20191024,0
601229.SH,2020-03-12,20190930,20190930,20191026,20191026,0
603365.SH,2020-03-12,20190930,20190930,20191029,20191029,0
002653.SZ,2020-03-12,20190930,20190930,20191028,20191028,0
300536.SZ,2020-03-12,20190930,20190930,20191028,20191028,0
002878.SZ,2020-03-12,20190930,20190930,20191030,20191030,0
002191.SZ,2020-03-12,20190930,20190930,20191025,20191025,0
002202.SZ,2020-03-12,20190930,20190930,20191026,20191026,0
600200.SH,2020-03-12,20190930,20190930,20191026,20191026,0
603806.SH,2020-03-12,20190930,20190930,20191026,20191026,0
600833.SH,2020-03-12,20190930,20190930,20191031,20191031,0
600867.SH,2020-03-12,20190930,20190930,20191023,20191023,0
002229.SZ,2020-03-12,20190930,20190930,20191031,20191031,0
002701.SZ,2020-03-12,20190930,20190930,20191026,20191026,0
601098.SH,2020-03-12,20190930,20190930,20191030,20191030,0
688016.SH,2020-03-12,20190930,20190930,20191028,20191028,0
600511.SH,2020-03-12,20190930,20190930,20191024,20191024,0
002810.SZ,2020-03-12,20190930,20190930,20191022,20191022,0
002039.SZ,2020-03-12,20190930,20190930,20191025,20191025,0
603681.SH,2020-03-13,20190930,20190930,20191030,20191030,0
000813.SZ,2020-03-13,20190930,20190930,20191026,20191026,0
002960.SZ,2020-03-13,20190930,20190930,20191023,20191023,0
600491.SH,2020-03-13,20190930,20190930,20191030,20191030,0
603919.SH,2020-03-13,20190930,20190930,20191030,20191030,0
601339.SH,2020-03-13,20190930,20190930,20191029,20191029,0
002638.SZ,2020-03-13,20190930,20190930,20191031,20191031,0
603013.SH,2020-03-13,20190930,20190930,20191024,20191024,0
000788.SZ,2020-03-13,20190930,20190930,20191025,20191025,0
600329.SH,2020-03-13,20190930,20190930,20191031,20191031,0
600222.SH,2020-03-13,20190930,20190930,20191026,20191026,0
600575.SH,2020-03-13,20190930,20190930,20191030,20191030,0
002166.SZ,2020-03-13,20190930,20190930,20191030,20191030,0
300194.SZ,2020-03-13,20190930,20190930,20191026,20191026,0
601233.SH,2020-03-13,20190930,20190930,20191026,20191026,0
600789.SH,2020-03-13,20190930,20190930,20191031,20191031,0
300725.SZ,2020-03-13,20190930,20190930,20191028,20191028,0
600694.SH,2020-03-13,20190930,20190930,20191025,20191025,0
600729.SH,2020-03-13,20190930,20190930,20191019,20191019,0
002047.SZ,2020-03-13,20190930,20190930,20191029,20191029,0
600409.SH,2020-03-13,20190930,20190930,20191030,20191030,0
002728.SZ,2020-03-13,20190930,20190930,20191029,20191029,0
600829.SH,2020-03-13,20190930,20190930,20191019,20191019,0
000963.SZ,2020-03-13,20190930,20190930,20191030,20191030,0
300436.SZ,2020-03-13,20190930,20190930,20191025,20191025,0
002386.SZ,2020-03-13,20190930,20190930,20191031,20191031,0
002780.SZ,2020-03-13,20190930,20190930,20191029,20191029,0
000597.SZ,2020-03-13,20190930,20190930,20191030,20191030,0
002462.SZ,2020-03-13,20190930,20190930,20191017,20191017,0
603080.SH,2020-03-13,20190930,20190930,20191030,20191030,0
001965.SZ,2020-03-13,20190930,20190930,20191030,20191030,0
600398.SH,2020-03-13,20190930,20190930,20191031,20191031,0
600624.SH,2020-03-13,20190930,20190930,20191026,20191026,0
000333.SZ,2020-03-13,20190930,20190930,20191031,20191031,0
600803.SH,2020-03-13,20191231,20191231,20200313,20200313,0
603060.SH,2020-03-13,20190930,20190930,20191031,20191031,0
603398.SH,2020-03-13,20190930,20190930,20191030,20191030,0
600420.SH,2020-03-13,20190930,20190930,20191026,20191026,0
002404.SZ,2020-03-13,20190930,20190930,20191025,20191025,0
002111.SZ,2020-03-13,20190930,20190930,20191030,20191030,0
002963.SZ,2020-03-13,20190930,20190930,20191025,20191025,0
000534.SZ,2020-03-13,20191231,20191231,20200229,20200229,0
300147.SZ,2020-03-13,20190930,20190930,20191030,20191030,0
603739.SH,2020-03-13,20190930,20190930,20191029,20191029,0
603229.SH,2020-03-13,20190930,20190930,20191030,20191030,0
603315.SH,2020-03-13,20190930,20190930,20191030,20191030,0
603121.SH,2020-03-13,20190930,20190930,20191030,20191030,0
601166.SH,2020-03-13,20190930,20190930,20191030,20191030,0
600612.SH,2020-03-13,20190930,20190930,20191028,20191028,0
002024.SZ,2020-03-13,20190930,20190930,20191031,20191031,0
002080.SZ,2020-03-13,20190930,20190930,20191023,20191023,0
002287.SZ,2020-03-13,20190930,20190930,20191023,20191023,0
603776.SH,2020-03-13,20190930,20190930,20191026,20191026,0
601677.SH,2020-03-13,20190930,20190930,20191022,20191022,0
300612.SZ,2020-03-13,20190930,20190930,20191025,20191025,0
002752.SZ,2020-03-13,20190930,20190930,20191029,20191029,0
600004.SH,2020-03-13,20190930,20190930,20191029,20191029,0
300758.SZ,2020-03-13,20190930,20190930,20191029,20191029,0
600516.SH,2020-03-13,20190930,20190930,20191026,20191026,0
300506.SZ,2020-03-13,20190930,20190930,20191030,20191030,0
603387.SH,2020-03-13,20190930,20190930,20191023,20191023,0
600822.SH,2020-03-13,20190930,20190930,20191031,20191031,0
300558.SZ,2020-03-13,20190930,20190930,20191025,20191025,0
300727.SZ,2020-03-13,20191231,20191231,20200305,20200305,0
300417.SZ,2020-03-13,20190930,20190930,20191029,20191029,0
002020.SZ,2020-03-13,20190930,20190930,20191025,20191025,0
002864.SZ,2020-03-13,20190930,20190930,20191029,20191029,0
