kind,ts_code,end_date,ann_date,n_rows,n_update_flag_vals,n_f_ann_vals,n_value_vals
income,000040.SZ,20230630,20230831,2,2,1,1
income,000040.SZ,20230930,20231028,2,2,1,1
income,000040.SZ,20231231,20240705,2,2,1,1
income,000042.SZ,20180930,20181030,2,2,1,1
income,000042.SZ,20181231,20190413,2,2,1,1
income,000042.SZ,20190630,20190816,2,2,1,1
income,000042.SZ,20190930,20191029,2,2,1,1
income,000042.SZ,20191231,20200428,2,2,1,1
income,000042.SZ,20200331,20200428,2,2,1,1
income,000042.SZ,20200630,20200821,2,2,1,1
income,000042.SZ,20200930,20201028,2,2,1,1
income,000042.SZ,20201231,20210413,2,2,1,1
income,000042.SZ,20210930,20211027,2,2,1,1
income,000042.SZ,20211231,20220413,2,2,1,1
income,000042.SZ,20220331,20220428,2,2,1,1
income,000042.SZ,20221231,20230412,2,2,1,1
income,000042.SZ,20230630,20230818,2,2,1,1
income,000045.SZ,20180930,20181030,2,2,1,1
income,000045.SZ,20181231,20190427,2,2,1,1
income,000045.SZ,20190630,20190821,2,2,1,1
income,000045.SZ,20191231,20200314,2,2,1,1
income,000045.SZ,20200331,20200430,2,2,1,1
income,000045.SZ,20200630,20200820,2,2,1,1
income,000045.SZ,20200930,20201031,2,2,1,1
income,000045.SZ,20201231,20210312,2,2,1,1
income,000045.SZ,20210930,20211030,2,2,1,1
income,000045.SZ,20211231,20220317,2,2,1,1
income,000045.SZ,20220331,20220429,2,2,1,1
income,000045.SZ,20221231,20230404,2,2,1,1
income,000046.SZ,20180930,20181031,2,2,1,1
income,000046.SZ,20181231,20190417,2,2,1,1
income,000046.SZ,20191231,20200429,2,2,1,1
income,000046.SZ,20200331,20200430,2,2,1,1
income,000046.SZ,20200630,20200829,2,2,1,1
income,000046.SZ,20200930,20201031,2,2,1,1
income,000046.SZ,20201231,20210430,2,2,1,1
income,000046.SZ,20210930,20211030,2,2,1,1
income,000046.SZ,20211231,20220430,2,2,1,1
income,000046.SZ,20220331,20220430,2,2,1,1
income,000046.SZ,20221231,20230429,2,2,1,1
income,000046.SZ,20230630,20230831,2,2,1,1
income,000048.SZ,20180630,20180831,2,2,1,1
income,000048.SZ,20180930,20181031,2,2,1,1
income,000048.SZ,20181231,20190415,2,2,1,1
income,000048.SZ,20190630,20190831,2,2,1,1
income,000048.SZ,20191231,20200430,2,2,1,1
income,000048.SZ,20200331,20200430,2,2,1,1
income,000048.SZ,20200630,20200828,2,2,1,1
income,000048.SZ,20200930,20201031,2,2,1,1
income,000048.SZ,20201231,20210326,2,2,1,1
income,000048.SZ,20210930,20211029,2,2,1,1
income,000048.SZ,20211231,20220316,2,2,1,1
income,000048.SZ,20221231,20230315,2,2,1,1
