sample,signal_date,mean_return,median_return,win_rate,loss_rate,n_episodes,mean_mae,mean_hold
SECONDARY,2020-09-22,2.7538479953249544,4.054187928088257,74.19354838709677,25.806451612903224,31,-12.622335151642304,43.193548387096776
SECONDARY,2020-09-23,6.1046939200291,5.690581276727976,88.88888888888889,11.11111111111111,9,-6.073966830754063,21.555555555555557
SECONDARY,2020-09-24,4.383026392107126,4.313658033612626,84.57943925233646,15.42056074766355,214,-8.312653875186387,31.80373831775701
SECONDARY,2020-09-25,4.595068747445719,4.998076829533236,82.8125,17.1875,64,-9.03102801073225,32.59375
SECONDARY,2020-09-28,5.937414142216171,5.521365799431158,83.2,16.8,125,-8.862031709549157,31.504
SECONDARY,2020-09-29,8.540282906567954,8.96756825589188,71.42857142857143,28.57142857142857,14,-10.315275115882347,32.785714285714285
SECONDARY,2020-09-30,4.0443431602976645,4.7649717817479225,70.73170731707317,29.268292682926827,41,-7.5903134823210925,25.390243902439025
SECONDARY,2020-10-09,1.5617756795880715,-0.6416955472550661,40.0,60.0,5,-13.461735175739387,22.4
SECONDARY,2020-10-12,3.7523403888601528,3.7523403888601528,100.0,0.0,1,-11.26407311378409,19.0
SECONDARY,2020-10-13,-9.300577927437558,-9.300577927437558,0.0,100.0,2,-23.409733579611572,33.5
SECONDARY,2020-10-14,4.585835614896465,1.5751533173114458,57.14285714285714,42.857142857142854,7,-14.178121398559599,38.0
SECONDARY,2020-10-15,-0.4124985438390885,-1.2565644078675982,40.0,60.0,10,-15.010803367290924,30.5
SECONDARY,2020-10-16,6.466792237385343,7.681748541736624,77.77777777777779,22.22222222222222,9,-8.84334288377181,26.22222222222222
SECONDARY,2020-10-19,3.752788239334825,5.929694014505729,84.21052631578947,15.789473684210526,19,-12.94952234361491,32.36842105263158
SECONDARY,2020-10-20,-0.5807740208421235,1.7336790485008924,60.0,40.0,5,-15.55948004266872,32.8
SECONDARY,2020-10-21,8.578200776514771,10.081038772869046,72.22222222222221,27.77777777777778,18,-13.600696801165306,33.611111111111114
SECONDARY,2020-10-22,4.429028397005636,6.082803563308695,82.6086956521739,17.391304347826086,23,-12.604308882650127,29.217391304347824
SECONDARY,2020-10-23,2.5459678537657875,1.7395082815430205,68.0,32.0,75,-15.480847979444542,40.333333333333336
SECONDARY,2020-10-26,4.917339122334469,5.354290883953852,88.52459016393442,11.475409836065573,61,-9.732282677417773,28.83606557377049
