date,mode,equity,cash,invested,stock_val,n_pos
2023-05-10,A2,1040922.6214975528,917.6214975528101,1100234.89172096,1040005.0,4
2023-05-11,A2,1061996.6214975528,917.6214975528101,1100234.89172096,1061079.0,4
2023-05-12,A2,1045721.6214975528,917.6214975528101,1100234.89172096,1044804.0,4
2023-05-15,A2,1079826.6214975528,917.6214975528101,1100234.89172096,1078909.0,4
2023-05-16,A2,1073564.6214975528,917.6214975528101,1100234.89172096,1072647.0,4
2023-05-17,A2,1061758.6214975528,917.6214975528101,1100234.89172096,1060841.0,4
2023-05-18,A2,1052112.6214975528,917.6214975528101,1100234.89172096,1051195.0,4
2023-05-19,A2,1056366.6214975528,917.6214975528101,1100234.89172096,1055449.0,4
2023-05-22,A2,1072794.4513674527,368949.4513674528,722189.05535276,703845.0,3
2023-05-23,A2,1060748.4513674527,368949.4513674528,722189.05535276,691799.0,3
2023-05-24,A2,1062099.4513674527,368949.4513674528,722189.05535276,693150.0,3
2023-05-25,A2,1064353.4513674527,368949.4513674528,722189.05535276,695404.0,3
2023-05-26,A2,1049585.4513674527,368949.4513674528,722189.05535276,680636.0,3
2023-05-29,A2,1039064.4513674527,368949.4513674528,722189.05535276,670115.0,3
2023-05-30,A2,1037372.9198874529,170699.91988745282,920438.5868327599,866673.0,3
2023-05-31,A2,1019483.9198874529,170699.91988745282,920438.5868327599,848784.0,3
2023-06-01,A2,1016426.2772729929,36.277272992856524,1091102.22944722,1016390.0,3
2023-06-02,A2,1044341.2772729929,36.277272992856524,1091102.22944722,1044305.0,3
2023-06-05,A2,1018546.2772729929,36.277272992856524,1091102.22944722,1018510.0,3
2023-06-06,A2,1009613.2772729929,36.277272992856524,1091102.22944722,1009577.0,3
2023-06-07,A2,984870.2772729929,36.277272992856524,1091102.22944722,984834.0,3
2023-06-08,A2,984629.2772729929,36.277272992856524,1091102.22944722,984593.0,3
2023-06-09,A2,977810.2772729929,36.277272992856524,1091102.22944722,977774.0,3
2023-06-12,A2,987660.2772729929,36.277272992856524,1091102.22944722,987624.0,3
2023-06-13,A2,978453.2772729929,36.277272992856524,1091102.22944722,978417.0,3
2023-06-14,A2,964772.2772729929,36.277272992856524,1091102.22944722,964736.0,3
