anchor_day,n,n_failure,n_recovery,failure_component,recovery_component
540,7,6,1,7.198651690710697,-4.3301373677324575
541,6,4,2,2.272648273907117,-0.13261720983274441
542,4,3,1,2.282399142567485,-1.4484861346418423
543,4,4,0,9.803233764460114,0.0
544,2,0,2,0.0,-12.312128375563084
545,6,6,0,3.9809793135770377,0.0
546,16,15,1,2.510797530552739,0.018686770771468405
547,41,34,7,2.940629999982001,-1.8482851729753798
548,137,107,30,0.7446442361882983,-2.3125439613724166
549,52,34,18,1.0054654247155796,-3.553341431215181
550,24,16,8,-0.9917802508475034,-4.303374774639964
551,13,7,6,-2.0401308031861016,-6.313493756450736
552,64,48,16,1.1466037451190778,-2.9099492078210885
553,58,39,19,2.500686593152926,-2.31222985385108
554,4,3,1,-4.401660287504299,-3.3855660061472377
555,11,11,0,1.6140430141936322,0.0
556,94,62,32,-0.2805724634547612,-4.5574988677695565
557,124,73,51,-0.8919208072818635,-6.759174460320165
558,474,241,233,-3.01128204485827,-10.086847064769255
559,313,112,201,-2.929527535829524,-14.690085422306657
560,209,56,153,-1.081115728795908,-12.435433975733327
561,13,7,6,1.049665699459432,-10.49734465792822
562,3,1,2,-3.8273568081189016,-9.755857754976487
563,1,0,1,0.0,-18.357452532975955
564,4,3,1,-2.3174910526571164,-6.117120187443369
565,5,1,4,-1.6744222927095578,-23.227025826921942
566,1,1,0,2.541969172703477,0.0
567,2,2,0,10.569888325342264,0.0
568,1,1,0,-13.052293986561969,0.0
569,1,1,0,4.380155877134175,0.0
570,1,1,0,-9.76056324764679,0.0
571,1,1,0,10.793646040296393,0.0
572,1,0,1,0.0,-16.18010417732044
576,1,1,0,15.115531127145614,0.0
579,1,0,1,0.0,-11.808998582422571
580,1,1,0,31.338707586181876,0.0
581,2,2,0,-7.14108344315172,0.0
586,1,1,0,2.2886114720318744,0.0
589,1,1,0,3.420303718570109,0.0
599,1,1,0,-3.40038703969486,0.0
602,1,1,0,-21.644971100879715,0.0
606,2,1,1,6.975123592947178,-12.52711199529979
608,1,1,0,13.709654265986078,0.0
613,1,1,0,12.035791610382532,0.0
625,6,6,0,-0.7322887960835427,0.0
627,2,2,0,16.828003838097356,0.0
629,1,0,1,0.0,7.020846162226139
639,1,1,0,3.0177908453379043,0.0
640,2,1,1,3.544394807986113,-5.087955713112105
641,3,3,0,-7.510321878776103,0.0
642,2,2,0,-0.05990494474034502,0.0
643,2,2,0,-2.0020348847416063,0.0
644,4,2,2,4.197880303603081,-0.8895622056864432
645,3,2,1,7.370210116519783,-5.072415075378597
646,3,2,1,3.2595019554755584,-2.128551995953605
647,7,6,1,5.897294714212573,-2.221075317619911
648,1,1,0,-0.1928858026378304,0.0
649,3,3,0,2.681427908713129,0.0
650,6,6,0,1.0079869944802313,0.0
652,2,2,0,4.478126246929977,0.0
653,4,3,1,3.9613411194351915,-1.3154286668734239
654,3,3,0,-3.4641056945053674,0.0
655,5,5,0,-0.3419179276748654,0.0
656,26,23,3,-0.5175029534311099,-2.093525402840399
657,17,16,1,-2.977895686357209,-0.5495794651314946
658,30,21,9,-1.275990268206878,-2.904903231765412
659,1,1,0,-9.915781064304763,0.0
660,10,4,6,-1.3788636956193359,-4.791026594444537
661,4,2,2,1.6607649594239673,-5.6051664243107275
662,40,26,14,-3.020562093577319,-4.671928721982607
663,38,28,10,-4.350291320046085,-3.715101703217544
664,4,4,0,0.759470916274795,0.0
665,26,21,5,-3.3509299879163725,-1.4859785040519509
666,37,26,11,-5.374298556632371,-4.397619280548738
667,64,43,21,-4.979422995358153,-4.4700753770382295
668,169,98,71,-6.136435879540631,-7.084662742317964
669,58,32,26,-5.311590440538152,-7.697434316942441
670,32,18,14,-3.3231224281270277,-5.883576171618282
