horizon_day,variable,bucket,count,pct
7,high_ret,0~+1%,11967,7.7101494095135
7,high_ret,+1~+2%,11764,7.579359710329809
7,high_ret,+2~+3%,10867,7.001436753838323
7,high_ret,+3~+5%,18141,11.687960260548543
7,high_ret,+5~+8%,18150,11.693758818640433
7,high_ret,+8~+10%,7601,4.897204450715478
7,high_ret,+10~+15%,10583,6.818460031827642
7,high_ret,+15~+20%,4429,2.853534865441238
7,high_ret,>=+20%,4617,2.9746603011384503
7,low_ret,<-20%,1569,1.0108819606857762
7,low_ret,-20~-15%,2420,1.5591678424853908
7,low_ret,-15~-10%,7718,4.97258570591002
7,low_ret,-10~-8%,6529,4.206531753548395
7,low_ret,-8~-5%,18162,11.701490229429615
7,low_ret,-5~-3%,19387,12.490738414158791
7,low_ret,-3~-2%,11258,7.2533518887192265
7,low_ret,-2~-1%,11838,7.627036743529776
7,low_ret,-1~0%,11964,7.708216556816206
7,low_ret,0~+1%,11161,7.190856318173325
7,low_ret,+1~+2%,9616,6.195437179065917
7,low_ret,+2~+3%,8333,5.368820508855687
7,low_ret,+3~+5%,12031,7.751383600389147
7,low_ret,+5~+8%,10541,6.791400094065497
7,low_ret,+8~+10%,4160,2.6802224069170357
7,low_ret,+10~+15%,4888,3.1492613281275164
7,low_ret,+15~+20%,1935,1.2466899897558807
7,low_ret,>=+20%,1701,1.0959274793667975
7,close_ret,<-20%,971,0.6255999896914523
7,close_ret,-20~-15%,1620,1.0437404565398072
7,close_ret,-15~-10%,5426,3.495886245175922
7,close_ret,-10~-8%,4864,3.1337985065491494
7,close_ret,-8~-5%,13592,8.757111287215467
7,close_ret,-5~-3%,15524,10.001868424274054
7,close_ret,-3~-2%,9831,6.333958289038792
7,close_ret,-2~-1%,10750,6.926055498643782
7,close_ret,-1~0%,11512,7.41700008375695
7,close_ret,0~+1%,11516,7.419577220686678
7,close_ret,+1~+2%,10832,6.978886805703204
7,close_ret,+2~+3%,9678,6.2353828014767
7,close_ret,+3~+5%,15137,9.752530426322876
7,close_ret,+5~+8%,14102,9.085696245755779
7,close_ret,+8~+10%,5907,3.805786960975704
7,close_ret,+10~+15%,7676,4.945525768147876
7,close_ret,+15~+20%,3109,2.0030796786310248
7,close_ret,>=+20%,3164,2.0385153114147836
8,high_ret,<-20%,709,0.4569712282149118
8,high_ret,-20~-15%,1078,0.6948025162421367
8,high_ret,-15~-10%,3644,2.348664535423327
8,high_ret,-10~-8%,3388,2.1836650510467153
8,high_ret,-8~-5%,9654,6.222285242858616
8,high_ret,-5~-3%,11949,7.701479839125502
8,high_ret,-3~-2%,8138,5.245178921315871
8,high_ret,-2~-1%,9430,6.077910694029081
8,high_ret,-1~0%,10723,6.911286995978137
8,high_ret,0~+1%,11255,7.254176549448283
8,high_ret,+1~+2%,10982,7.078220068062286
8,high_ret,+2~+3%,10286,6.629627719913375
8,high_ret,+3~+5%,17288,11.142621429308033
8,high_ret,+5~+8%,17778,11.45844075487264
8,high_ret,+8~+10%,7573,4.8810199030628025
8,high_ret,+10~+15%,10720,6.909353408270599
8,high_ret,+15~+20%,4790,3.087295039703001
8,high_ret,>=+20%,5767,3.7170001031246778
8,low_ret,<-20%,2093,1.348999690625967
8,low_ret,-20~-15%,3266,2.1050324842734867
8,low_ret,-15~-10%,8477,5.463674332267711
8,low_ret,-10~-8%,6911,4.45434154893266
8,low_ret,-8~-5%,18088,11.658244817984944
8,low_ret,-5~-3%,18290,11.788439723625864
8,low_ret,-3~-2%,10722,6.910642466742291
8,low_ret,-2~-1%,11026,7.106579354439517
8,low_ret,-1~0%,11290,7.276735072702897
8,low_ret,0~+1%,10654,6.866814478704754
8,low_ret,+1~+2%,9313,6.002500773435083
8,low_ret,+2~+3%,8071,5.20199546251418
8,low_ret,+3~+5%,11728,7.559038878003506
8,low_ret,+5~+8%,10656,6.868103537176447
8,low_ret,+8~+10%,4339,2.7966123543363928
8,low_ret,+10~+15%,5535,3.5674693204083736
8,low_ret,+15~+20%,2365,1.5243116427761163
8,low_ret,>=+20%,2328,1.5004640610498092
8,close_ret,<-20%,1293,0.8333763019490564
8,close_ret,-20~-15%,2287,1.4740383623801174
8,close_ret,-15~-10%,6402,4.126276167886975
8,close_ret,-10~-8%,5095,3.2838764566360727
8,close_ret,-8~-5%,13924,8.974425079921625
8,close_ret,-5~-3%,15374,9.908992471898525
8,close_ret,-3~-2%,9365,6.036016293699082
8,close_ret,-2~-1%,10413,6.711482932865835
8,close_ret,-1~0%,10996,7.087243477364133
8,close_ret,0~+1%,10838,6.9854078581004435
8,close_ret,+1~+2%,10190,6.5677529132721455
8,close_ret,+2~+3%,9135,5.8877745694544705
8,close_ret,+3~+5%,14421,9.294756110137156
8,close_ret,+5~+8%,13991,9.017608538723316
8,close_ret,+8~+10%,5865,3.7801639682375994
8,close_ret,+10~+15%,8017,5.1671908837784875
8,close_ret,+15~+20%,3417,2.202356398886254
8,close_ret,>=+20%,4129,2.661261214808704
9,high_ret,<-20%,996,0.6424894531098813
9,high_ret,-20~-15%,1612,1.0398524080453098
9,high_ret,-15~-10%,4568,2.946678535949736
9,high_ret,-10~-8%,3592,2.3170904774806154
9,high_ret,-8~-5%,10097,6.513269084388022
9,high_ret,-5~-3%,12005,7.74406213311659
9,high_ret,-3~-2%,7884,5.085729767387854
9,high_ret,-2~-1%,9157,5.906903536272271
9,high_ret,-1~0%,10081,6.502947968675414
9,high_ret,0~+1%,10707,6.906761620931223
9,high_ret,+1~+2%,10597,6.83580395040704
9,high_ret,+2~+3%,9644,6.221052495774793
9,high_ret,+3~+5%,16136,10.408845196165705
9,high_ret,+5~+8%,17264,11.136483853904606
9,high_ret,+8~+10%,7570,4.883177871527912
9,high_ret,+10~+15%,11200,7.224780998825973
9,high_ret,+15~+20%,5066,3.267923262504677
9,high_ret,>=+20%,6846,4.416147385532376
9,low_ret,<-20%,3285,2.1190540697449394
9,low_ret,-20~-15%,3743,2.414496007018359
9,low_ret,-15~-10%,8776,5.661131968365781
9,low_ret,-10~-8%,7019,4.527744449174956
9,low_ret,-8~-5%,18018,11.622866431861285
9,low_ret,-5~-3%,17640,11.379030073150908
9,low_ret,-3~-2%,10347,6.674536517397531
9,low_ret,-2~-1%,10603,6.839674368799267
9,low_ret,-1~0%,10704,6.904826411735108
9,low_ret,0~+1%,9820,6.334584768613487
9,low_ret,+1~+2%,8786,5.667582665686161
9,low_ret,+2~+3%,7488,4.830282153500794
9,low_ret,+3~+5%,11629,7.501515913870289
9,low_ret,+5~+8%,10884,7.020938963501955
9,low_ret,+8~+10%,4567,2.946033466217698
9,low_ret,+10~+15%,5977,3.8555817883913255
9,low_ret,+15~+20%,2631,1.6971784649920656
9,low_ret,>=+20%,3105,2.0029415179780936
9,close_ret,<-20%,2239,1.4443111300331566
9,close_ret,-20~-15%,3037,1.9590767761995074
9,close_ret,-15~-10%,6761,4.361316458309143
9,close_ret,-10~-8%,5386,3.474345576756847
9,close_ret,-8~-5%,14338,9.249009817961323
9,close_ret,-5~-3%,14795,9.543806685502702
9,close_ret,-3~-2%,9019,5.8178839132510225
9,close_ret,-2~-1%,9815,6.331359419953298
9,close_ret,-1~0%,10477,6.758395582562475
9,close_ret,0~+1%,10313,6.652604146508237
9,close_ret,+1~+2%,9624,6.208151101134033
9,close_ret,+2~+3%,8347,5.384397053321464
9,close_ret,+3~+5%,13749,8.86906374579092
9,close_ret,+5~+8%,13784,8.89164118641225
9,close_ret,+8~+10%,6145,3.9639535033737148
9,close_ret,+10~+15%,8341,5.380526634929236
9,close_ret,+15~+20%,3782,2.439653726567842
9,close_ret,>=+20%,5070,3.270503541432829
10,high_ret,<-20%,1722,1.111311890133719
10,high_ret,-20~-15%,2353,1.518534772058444
10,high_ret,-15~-10%,5218,3.367494449894161
10,high_ret,-10~-8%,3956,2.553048686044711
