ts_code,stock_name,n_episodes,total_pnl,mean_ret_pct,best_ret_pct,worst_ret_pct,mean_pnl_per_ep
000559.SZ,万向钱潮,13,324911.87367120036,4.417753478122427,13.686333696809564,-1.633363765754498,24993.221051630797
000560.SZ,我爱我家,14,445321.17444762064,7.801238486537978,30.687520056763972,-5.745344308710095,31808.65531768719
000561.SZ,烽火电子,15,549593.695879021,7.334700807941749,20.139027855595906,-0.2335044726339382,36639.579725268064
000563.SZ,陕国投A,15,275729.7905213407,3.3470152773967885,9.065423043417528,-2.3039798455228393,18381.986034756046
000564.SZ,供销大集,6,219261.60867888003,9.766111944387657,31.627123359399377,-7.116110117381988,36543.60144648
000565.SZ,渝三峡A,15,406621.5263479812,5.1256202500549,14.829655246718534,-7.295411095149006,27108.10175653208
000566.SZ,海南海药,15,-232952.74082243937,-0.3744462832637455,12.694418228729257,-21.006932809574906,-15530.182721495958
000567.SZ,海德股份,14,58456.7832702607,3.47029399835147,17.545570400125513,-15.532439601082675,4175.484519304336
000568.SZ,泸州老窖,13,42736.05676908106,2.817363472760587,12.760447710023042,-11.506296726177982,3287.3889822370043
000570.SZ,苏常柴A,16,389268.91253052116,6.033343079581544,15.592309795656917,-6.02961799941071,24329.307033157573
000571.SZ,新大洲A,4,83150.95248108008,4.638366538824008,7.340279281357113,3.149494970020815,20787.73812027002
000572.SZ,海马汽车,11,442436.4279446405,7.446965748333249,24.32785496068481,-2.174121120126159,40221.493449512775
000573.SZ,粤宏远A,18,406625.5771635606,7.730351434804212,24.992681012844116,-7.600303643935767,22590.309842420033
000576.SZ,广东甘化,15,374118.055917121,5.836978101993615,23.531251562756783,-10.276294842671438,24941.203727808068
000581.SZ,威孚高科,13,204410.52130896063,3.509005140556792,10.333712708803471,-2.461323217168444,15723.886254535433
000582.SZ,北部湾港,18,504058.2419086207,5.614570416700729,21.5713822694698,-2.6056560846821863,28003.23566159004
000584.SZ,哈工智能,11,-66641.1881889597,4.1038753342630105,18.268725508727933,-33.65476464237726,-6058.289835359973
000586.SZ,汇源通信,15,384118.25751702103,9.204932693982004,31.8553924369396,-2.011944556860449,25607.88383446807
000589.SZ,贵州轮胎,11,203327.16915870114,4.547222289989986,15.95711870844758,-10.234911380690551,18484.28810533647
000590.SZ,启迪古汉,16,355400.1014047206,5.135515243480427,15.779273478628005,-9.461080016652447,22212.50633779504
000591.SZ,太阳能,10,8773.320293820187,3.533625231504724,19.33934818934202,-12.84998868249544,877.3320293820186
000592.SZ,平潭发展,18,22760.90449758075,4.583399549019905,13.011374354321756,-21.7169712844363,1264.4946943100415
000593.SZ,德龙汇能,16,268119.0774421209,5.092555437031671,14.961343980388444,-8.52280237369926,16757.442340132555
000595.SZ,宝塔实业,15,90014.447728981,5.159477715927617,33.23379258056238,-29.73579821486493,6000.963181932067
000596.SZ,古井贡酒,17,313917.28941438126,5.591858577993573,17.26653714576062,-11.076467017079608,18465.722906728308
000597.SZ,东北制药,16,47247.691112820874,1.6226595129435033,11.683245644344463,-29.17041043078002,2952.9806945513046
000598.SZ,兴蓉环境,15,124922.9486430008,4.060966503870324,13.022922034733972,-10.053799716435076,8328.196576200053
000599.SZ,青岛双星,19,412632.4334302811,5.135447466450449,16.51571082458426,-4.99266152440103,21717.496496330587
000600.SZ,建投能源,15,237056.6104511408,5.8080842602767,19.13536909973838,-5.617045323753298,15803.774030076052
000601.SZ,韶能股份,16,355644.629515441,4.195629659732911,13.371357607147742,-4.882339941431411,22227.789344715064
000603.SZ,盛达资源,15,226010.6105778007,5.327729280866948,22.557337564311812,-8.07256933926119,15067.374038520045
000605.SZ,渤海股份,16,372284.0300692811,7.762825633998622,21.055929525738808,-5.685558043370266,23267.75187933007
000606.SZ,顺利办,3,-149459.16801311987,-2.3488726330211045,7.253300150688954,-19.57633791080747,-49819.722671039955
000607.SZ,华媒控股,11,170776.0365143407,4.432013594056699,15.768160165528652,-7.27031030554609,15525.094228576427
000608.SZ,阳光股份,17,436864.026667861,6.897315812580321,18.042087362145296,-4.326540493038303,25697.88392163888
000609.SZ,中迪投资,7,198615.6762609607,-0.22360359224391857,17.348651101525792,-47.487086458770605,28373.6680372801
000610.SZ,*ST西旅,16,422306.83836774103,7.653399212938636,15.288192193524056,-4.937494721193792,26394.177397983814
000612.SZ,焦作万方,19,266488.9573291214,5.096333029212339,20.04106042039345,-8.207762649559376,14025.734596269549
000613.SZ,大东海A,2,-27209.749724999652,-2.271020880071797,-0.0559596902837987,-4.486082069859795,-13604.874862499826
000615.SZ,京汉股份,8,-191734.9676123396,1.048349359801147,30.7306273015023,-40.31952802383514,-23966.87095154245
000616.SZ,海航投资,2,35246.27573622012,2.941393939242231,5.861025694612548,0.0217621838719143,17623.13786811006
000617.SZ,中油资本,16,275387.78102940135,3.7689490789192863,11.536726794681936,-1.8289933126439035,17211.736314337584
000619.SZ,海螺新材,16,282680.0563145407,5.449363708027146,21.239060561536707,-7.199395630307509,17667.503519658792
000620.SZ,新华联,7,-560382.1313909391,-7.712178460400955,12.452545649791489,-38.99543906158357,-80054.59019870558
000622.SZ,恒立实业,13,105235.56035010087,4.4094209055682265,11.878596263007733,-9.484199203625067,8095.043103853914
000623.SZ,吉林敖东,16,109169.56504440113,1.9078663712343507,8.082395398988723,-7.388262088062744,6823.09781527507
000625.SZ,长安汽车,13,22054.78389672053,3.8165151079948925,22.581197597432073,-22.229994518631575,1696.5218382092717
000626.SZ,远大控股,14,-259189.67413727893,0.44000020533877293,20.80035628449835,-19.109945705674004,-18513.54815266278
000628.SZ,高新发展,17,599789.0591969414,8.991278571321924,44.67924500816973,-22.18874094507154,35281.70936452597
000629.SZ,攀钢钒钛,13,155499.38081856107,4.334955747254717,13.425439494945335,-8.532095946192149,11961.490832197005
000630.SZ,铜陵有色,17,239115.52603512045,5.233773816801722,19.63704121359064,-3.2737017333338816,14065.619178536497
000631.SZ,顺发恒能,18,235167.68727828143,4.142364266083465,14.465090126391944,-7.522144365762055,13064.87151546008
000632.SZ,ST三木,20,285475.1754693611,5.284470409563321,13.181406325327464,-4.371692014806312,14273.758773468053
000633.SZ,合金投资,15,376505.99773794087,7.347444374251114,20.55293481551229,-5.01270446509711,25100.39984919606
