ts_code,report_period,n_versions,ann_dates
000062.SZ,20221231,2,20230315;20230315
000062.SZ,20240331,2,20240430;20240430
000063.SZ,20180630,2,20180831;20180831
000063.SZ,20180930,2,20181026;20181026
000063.SZ,20181231,2,20190328;20190328
000063.SZ,20190630,2,20190828;20190828
000063.SZ,20190930,2,20191029;20191029
000063.SZ,20191231,2,20200328;20200328
000063.SZ,20200331,2,20200425;20200425
000063.SZ,20200630,2,20200829;20200829
000063.SZ,20200930,2,20201029;20201029
000063.SZ,20201231,2,20210317;20210317
000063.SZ,20211231,2,20220309;20220309
000063.SZ,20221231,2,20230311;20230311
000063.SZ,20230630,2,20230819;20230819
000063.SZ,20240930,2,20241022;20241022
000065.SZ,20180930,2,20181031;20181031
000065.SZ,20181231,2,20190402;20190402
000065.SZ,20191231,2,20200420;20200420
000065.SZ,20200331,2,20200420;20200420
000065.SZ,20200630,2,20200831;20200831
000065.SZ,20200930,2,20201031;20201031
000065.SZ,20201231,2,20210331;20210331
000065.SZ,20211231,2,20220430;20220430
000065.SZ,20220331,2,20220430;20220430
000065.SZ,20220630,2,20220819;20220819
000065.SZ,20221231,2,20230425;20230425
000065.SZ,20230630,2,20230831;20230831
000066.SZ,20180930,2,20181031;20181031
000066.SZ,20181231,2,20190430;20190430
000066.SZ,20191231,2,20200430;20200430
000066.SZ,20200331,2,20200430;20200430
000066.SZ,20200630,2,20200829;20200829
000066.SZ,20200930,2,20201031;20201031
000066.SZ,20201231,2,20210430;20210430
000066.SZ,20210930,2,20211030;20211030
000066.SZ,20211231,2,20220430;20220430
000066.SZ,20220331,2,20220430;20220430
000066.SZ,20221231,2,20230429;20230429
000066.SZ,20230630,2,20230826;20230826
000066.SZ,20230930,2,20231028;20231028
000068.SZ,20180930,2,20181030;20181030
000068.SZ,20181231,2,20190420;20190420
000068.SZ,20190630,2,20190827;20190827
000068.SZ,20191231,2,20200428;20200428
000068.SZ,20200331,2,20200428;20200428
000068.SZ,20200630,2,20200825;20200825
000068.SZ,20200930,2,20201029;20201029
000068.SZ,20201231,2,20210427;20210427
000068.SZ,20211231,2,20220305;20220305
000068.SZ,20220331,2,20220429;20220429
000068.SZ,20221231,2,20230427;20230429
000068.SZ,20230630,2,20230824;20230824
000068.SZ,20240331,2,20240425;20240425
000069.SZ,20180930,2,20181026;20181026
000069.SZ,20181231,2,20190330;20190330
000069.SZ,20190630,2,20190830;20190830
000069.SZ,20190930,2,20191029;20191029
000069.SZ,20191231,2,20200428;20200428
000069.SZ,20200331,2,20200428;20200428
000069.SZ,20200630,2,20200820;20200820
000069.SZ,20200930,2,20201027;20201027
000069.SZ,20201231,2,20210330;20210330
000069.SZ,20211231,2,20220331;20220331
000069.SZ,20221231,2,20230331;20230331
000070.SZ,20171231,2,20180411;20180411
000070.SZ,20180930,2,20181030;20181030
000070.SZ,20181231,2,20190416;20190416
000070.SZ,20190930,2,20191029;20191029
000070.SZ,20191231,2,20200429;20200429
000070.SZ,20200331,2,20200430;20200430
000070.SZ,20200630,2,20200829;20200829
000070.SZ,20200930,2,20201029;20201029
000070.SZ,20201231,2,20210427;20210427
000070.SZ,20211231,2,20220430;20220430
000070.SZ,20220331,2,20220430;20220430
