date,leg,action,gross,fee,net,shares,px
2022-05-16,etf,buy,897.5966999999998,5.0,-902.5966999999998,700,1.281
2022-05-26,etf,buy,12728.615899999999,5.0,-12733.615899999999,10100,1.259
2022-05-30,stock,sell,363098.538,457.50415788000004,362641.03384212,2200,165.04479
2022-06-01,etf,buy,362662.7003999999,90.66567509999999,-362753.3660750999,277200,1.307
2022-06-02,stock,sell,442946.61,558.1127286000001,442388.4972714,1000,442.94660999999996
2022-06-06,stock,sell,618287.094,779.0417384400001,617508.05226156,17800,34.73523
2022-06-24,stock,buy,199591.39199999996,51.89376191999999,-199643.28576191995,6200,32.192159999999994
2022-07-13,stock,buy,185585.4,48.252204,-185633.65220399998,600,309.30899999999997
2022-07-14,stock,buy,197198.001,51.271480260000004,-197249.27248026,5300,37.20717
2022-07-18,stock,buy,197036.83999999997,51.229578399999994,-197088.06957839997,5600,35.18514999999999
2022-07-18,etf,buy,286651.86549999996,71.662966375,-286723.52846637496,231500,1.237
2022-08-04,etf,sell,198743.6574,49.68591435,198693.97148565,150600,1.321
2022-08-04,stock,buy,196843.647,51.17934822,-196894.82634822,5900,33.36333
2022-08-04,etf,buy,1848.4465999999998,5.0,-1853.4465999999998,1400,1.319
2022-08-05,stock,sell,205572.222,259.02099972,205313.20100028,6200,33.15681
2022-08-08,etf,buy,5317.311999999999,5.0,-5322.311999999999,4000,1.328
2022-08-09,stock,buy,190710.52,49.5847352,-190760.1047352,1000,190.71052
2022-08-09,etf,buy,9124.014899999998,5.0,-9129.014899999998,6900,1.321
2022-08-11,etf,sell,198671.42969999998,49.667857424999994,198621.76184257498,148300,1.341
2022-08-11,stock,buy,187044.85799999998,48.631663079999996,-187093.48966308,600,311.74143
2022-08-11,etf,buy,11552.741199999999,5.0,-11557.741199999999,8600,1.342
2022-08-31,stock,sell,582712.704,734.2180070400001,581978.48599296,16800,34.68528
2022-08-31,etf,buy,181968.2865,45.492071625,-182013.77857162498,139300,1.305
2022-09-01,stock,buy,199699.49999999997,51.92186999999999,-199751.42186999996,700,285.28499999999997
2022-09-01,stock,buy,190709.51899999997,49.58447493999999,-190759.10347493997,1700,112.18206999999998
2022-09-01,etf,buy,9496.2868,5.0,-9501.2868,7400,1.282
2022-09-05,etf,sell,198740.3607,49.685090175,198690.675609825,155300,1.281
2022-09-05,stock,buy,188488.29999999996,49.00695799999999,-188537.30695799997,700,269.26899999999995
2022-09-05,etf,sell,188374.63679999998,47.0936592,188327.54314079997,147200,1.281
2022-09-05,stock,buy,197096.89999999997,51.24519399999999,-197148.14519399995,1100,179.17899999999997
2022-09-05,etf,sell,197332.66979999997,49.33316745,197283.33663254997,154200,1.281
2022-09-05,stock,buy,194900.70599999998,50.674183559999996,-194951.38018356,1800,108.27816999999999
2022-09-05,etf,buy,3618.414799999999,5.0,-3623.414799999999,2800,1.291
2022-09-26,stock,sell,416307.276,524.54716776,415782.72883224,2100,198.24156
2022-09-27,stock,buy,199888.68899999998,51.97105914,-199940.66005913998,25900,7.717709999999999
2022-09-28,etf,buy,15823.807999999999,5.0,-15828.807999999999,13000,1.216
2022-09-29,stock,buy,199864.66499999998,51.96481289999999,-199916.62981289998,26100,7.657649999999999
2022-09-29,etf,buy,123.92379999999999,5.0,-128.92379999999997,100,1.238
2022-10-10,etf,sell,96461.442,24.115360499999998,96437.3266395,79800,1.21
2022-10-10,stock,buy,101008.908,26.262316079999998,-101035.17031608,400,252.52227
2022-10-12,stock,sell,437237.325,550.9190295,436686.4059705,3500,124.92495
2022-10-13,stock,buy,172218.04599999997,44.776691959999994,-172262.82269195997,100,1722.1804599999998
2022-10-13,etf,buy,259771.31179999997,64.94282795,-259836.25462794997,215900,1.202
2022-10-20,etf,sell,198710.6904,49.6776726,198661.0127274,160800,1.237
2022-10-20,stock,buy,162262.09999999998,42.188145999999996,-162304.28814599998,100,1622.6209999999999
2022-10-20,etf,buy,36302.666399999995,9.075666599999998,-36311.742066599996,29200,1.242
2022-10-25,etf,sell,108048.74309999999,27.012185775,108021.73091422499,84300,1.283
2022-10-26,etf,buy,108003.2954,27.00082385,-108030.29622385,83900,1.286
2022-10-28,etf,sell,107787.50460000001,26.946876150000005,107760.55772385001,83900,1.286
2022-10-28,stock,sell,428051.51999999996,539.3449152,427512.17508479994,52000,8.23176
2022-10-31,stock,buy,180179.99999999997,46.846799999999995,-180226.84679999997,500,360.35999999999996
2022-11-02,etf,buy,354995.94129999995,88.74898532499999,-355084.69028532493,270100,1.313
2022-11-04,stock,sell,834634.5300000001,1051.6395078,833582.8904922002,3000,278.21151000000003
2022-11-14,stock,buy,199146.94799999997,51.778206479999994,-199198.72620647997,11800,16.876859999999997
2022-12-01,stock,sell,331668.0,417.90168000000006,331250.09832,200,1658.34
2022-12-07,stock,buy,197987.78999999998,51.476825399999996,-198039.26682539997,1900,104.20409999999998
2022-12-07,stock,sell,203166.63,255.9899538,202910.64004620002,500,406.33326
2022-12-14,stock,buy,192072.881,49.93894906,-192122.81994905998,1900,101.09098999999999
2022-12-23,stock,buy,197176.98,51.2660148,-197228.2460148,4900,40.2402
2022-12-23,etf,buy,381066.88619999995,95.26672154999999,-381162.15292155,300700,1.266
2022-12-26,stock,buy,199166.968,51.78341168,-199218.75141168,11900,16.73672
2022-12-26,etf,buy,762.762,5.0,-767.762,600,1.27
2023-01-03,stock,sell,438916.644,553.03497144,438363.60902856,3800,115.50438
2023-01-05,stock,sell,433039.52699999994,545.62980402,432493.89719597995,23700,18.27171
2023-01-12,stock,buy,196777.58099999998,51.16217105999999,-196828.74317105996,2300,85.55546999999999
2023-01-18,stock,sell,219887.89200000002,277.05874392000004,219610.83325608002,4900,44.875080000000004
2023-02-01,stock,sell,210836.95200000002,265.65455952,210571.29744048003,2300,91.66824000000001
2023-02-20,stock,buy,166566.39999999997,43.30726399999999,-166609.70726399997,400,416.41599999999994
2023-02-21,stock,buy,193633.44,50.3446944,-193683.7846944,2600,74.4744
2023-02-22,stock,buy,163763.59999999998,42.57853599999999,-163806.17853599996,400,409.40899999999993
2023-02-22,etf,buy,380044.665,95.01116625,-380139.67616624996,292500,1.298
2023-02-23,stock,buy,199999.8,51.999947999999996,-200051.799948,2700,74.074
2023-03-08,etf,sell,198835.3656,49.7088414,198785.6567586,152400,1.306
2023-03-08,stock,buy,198693.495,51.6603087,-198745.1553087,9900,20.07005
2023-03-20,etf,sell,198828.4725,49.707118125,198778.765381875,156100,1.275
2023-03-20,stock,buy,187457.27,48.7388902,-187506.0088902,500,374.91454
2023-03-20,etf,sell,187237.575,46.809393750000005,187190.76560625,147000,1.275
2023-03-20,stock,buy,199046.84799999997,51.75218047999999,-199098.60018047996,3200,62.20213999999999
2023-03-23,etf,sell,199436.16420000003,49.85904105000001,199386.30515895004,156700,1.274
2023-03-23,stock,buy,198948.74999999997,51.72667499999999,-199000.47667499998,10600,18.768749999999997
2023-03-31,stock,sell,537376.0860000001,677.0938683600001,536698.9921316401,1300,413.36622000000006
