round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,div_income,return_pct,hold_days
95,300502.SZ,,2026-01-13,2026-02-02,TAKE_PROFIT_DYN,1,500,35345.03866740002,0.0,18.33,14
96,300750.SZ,,2025-11-24,2026-02-06,TAKE_PROFIT_DYN,4,2000,9173.209696199978,0.0,1.27,52
97,300308.SZ,,2026-02-09,2026-03-18,TAKE_PROFIT_DYN,1,300,4921.249643640011,0.0,2.92,21
98,002475.SZ,,2026-01-09,2026-04-08,TAKE_PROFIT_DYN,5,19200,11640.279107160168,1464.82,1.18,56
99,688256.SH,,2026-02-04,2026-04-08,TAKE_PROFIT_DYN,3,400,51051.05774010002,0.0,12.4,38
100,601899.SH,,2026-03-20,2026-04-15,TAKE_PROFIT_DYN,2,12500,49074.12763110007,0.0,12.36,17
101,300274.SZ,,2026-07-02,2026-08-11,TAKE_PROFIT_DYN,2,2900,-33395.37541559996,0.0,-8.82,28
102,600487.SH,,2026-07-07,2026-08-17,TAKE_PROFIT_DYN,2,4800,-76914.2220461999,0.0,-19.7,29
103,688525.SH,,2026-07-16,2026-08-25,FINAL_SETTLE,2,1300,-71016.53428584,0.0,-19.37,28
104,600276.SH,,2026-08-21,2026-08-25,FINAL_SETTLE,2,8300,-9625.774603499915,0.0,-2.44,2
105,688256.SH,,2026-08-25,2026-08-25,FINAL_SETTLE,1,200,7495.974192960042,0.0,3.86,0
