request_index,generator,formula,canonical_expression,expression_hash,family,expected_direction,lookback,status,eval_status,coverage,disc_ic,disc_days,q5q1_disc,ic_2020,ic_2021,ic_2022,n_same_sign,disc_pval,pass_discovery,fdr_pass,val_ic,val_q5q1,test_ic,test_q5q1
129,TEMPLATE,"interaction(distance_to_lower_band,distance_52w_high)","interaction(distance_52w_high,distance_to_lower_band)",45576d3a41fd60ed,BB_CONDITIONAL,NA,NA,PROPOSED,OK,0.9777234940032268,-0.022181157642143484,586,0.0007251186286642097,0.006934462047312611,-0.05597873299293509,-0.006168630390131126,2,0.02939629359931928,True,True,-0.09696356883797128,-0.013468892555621947,-0.01552886266452846,0.004370024851873328
133,TEMPLATE,"diff(distance_to_lower_band,log_amount)","diff(distance_to_lower_band,log_amount)",6e943fa7c7b09081,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.040225694098005506,608,0.004546887890837091,-0.025811167346866493,0.0964981400406539,0.031831727993698315,2,8.012533875545458e-05,True,True,0.11461118217234793,0.023481579917156926,-0.01643972536489678,-0.017545383586264906
136,TEMPLATE,"max(distance_to_lower_band,log_amount)","max(distance_to_lower_band,log_amount)",7ca4e5389f92b98b,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.04790113390183817,608,-0.007794187075541882,0.022881922212376744,-0.10352248017243434,-0.043794129301334604,2,2.8251375967514036e-06,True,True,-0.10477764617838153,-0.0241323747788383,0.03794650846642295,0.02062397339791956
142,TEMPLATE,"diff(distance_to_lower_band,turnover_rank)","diff(distance_to_lower_band,turnover_rank)",5118a9f1856a4c77,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.03229276515631271,608,0.0043578480194081766,-0.029218289843375236,0.08812528317683586,0.020915691434240255,2,0.001292693710088777,True,True,0.10835488120766011,0.021405193464568987,-0.004552885512219287,-0.013393941963929207
143,TEMPLATE,"interaction(distance_to_lower_band,turnover_rank)","interaction(distance_to_lower_band,turnover_rank)",bd166ec9aa048762,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.02557066573945661,608,0.00313103811681803,-0.03458434992829075,0.07705444335457186,0.017691605113476273,2,0.009602407504451405,True,True,0.10162340506543491,0.019789002851656468,0.009137751696761986,-0.006254473911960665
145,TEMPLATE,"max(distance_to_lower_band,turnover_rank)","max(distance_to_lower_band,turnover_rank)",7983db15b800c0b0,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.04790113390183817,608,-0.007794187075541882,0.022881922212376744,-0.10352248017243434,-0.043794129301334604,2,2.8251375967514036e-06,True,True,-0.10477764617838153,-0.0241323747788383,0.03794650846642295,0.02062397339791956
168,TEMPLATE,"interaction(distance_to_lower_band,gap_pct)","interaction(distance_to_lower_band,gap_pct)",363fdbcc012b4ef4,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.027405807695131925,606,-0.0030050149032402633,-0.04208707474964254,-0.015569915242138408,-0.028642770183265238,3,0.004587136184136753,True,True,-0.015892726442012495,-0.0027672036560236653,-0.008598322018799929,0.0022327642488307303
170,TEMPLATE,"max(distance_to_lower_band,gap_pct)","max(distance_to_lower_band,gap_pct)",5e614ea169fbed17,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.028093527576906193,606,0.002118400975439332,0.039879543477949,0.02046749028357324,0.02712398044969428,3,0.0030155162398319835,True,True,0.02050122918204899,0.00535010294209889,0.007767745541231792,-0.0005118518182714242
171,TEMPLATE,"ratio(ret_5d,ret_20d)","ratio(ret_5d,ret_20d)",d85dc3273ff1303b,INTERACTION,NA,NA,PROPOSED,OK,0.9984708390298899,-0.0335185171453415,607,-0.00597653516095464,-0.02762079775885834,-0.030120105809032842,-0.04151513899506038,3,0.00021017867884753905,True,True,0.016503249933160397,0.00670654705507525,-0.006229141514881771,-0.0031432803891417315
175,TEMPLATE,"diff(ret_5d,atr14_pct)","diff(ret_5d,atr14_pct)",8a9fe42d325aaf1b,INTERACTION,NA,NA,PROPOSED,OK,1.0,0.04355629640097962,608,0.007157638344585838,0.05078806664609656,0.06814201551549533,0.012452081606855925,3,1.687504839287257e-05,True,True,0.04685644175710533,0.008276713054068874,0.0536121927620322,0.008873204468783692
