factor_id,factor_name,formula,failure_stage,failure_reason,discovery_metric,validation_metric,test_metric,date_killed
AFS_000153,SYMBOLIC_TEMPLATE_153,"interaction(distance_to_lower_band,market_up_ratio)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000154,SYMBOLIC_TEMPLATE_154,"min(distance_to_lower_band,market_up_ratio)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000155,SYMBOLIC_TEMPLATE_155,"max(distance_to_lower_band,market_up_ratio)",DISCOVERY_FAIL,NO_SIGNAL,nan,nan,nan,2026-09-11
AFS_000156,SYMBOLIC_TEMPLATE_156,"ratio(distance_to_lower_band,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,-0.0026,nan,nan,2026-09-11
AFS_000157,SYMBOLIC_TEMPLATE_157,"diff(distance_to_lower_band,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000158,SYMBOLIC_TEMPLATE_158,"interaction(distance_to_lower_band,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,-0.0026,nan,nan,2026-09-11
AFS_000159,SYMBOLIC_TEMPLATE_159,"min(distance_to_lower_band,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0098,nan,nan,2026-09-11
AFS_000160,SYMBOLIC_TEMPLATE_160,"max(distance_to_lower_band,csi300_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0194,nan,nan,2026-09-11
AFS_000161,SYMBOLIC_TEMPLATE_161,"ratio(distance_to_lower_band,csi500_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,-0.0008,nan,nan,2026-09-11
AFS_000162,SYMBOLIC_TEMPLATE_162,"diff(distance_to_lower_band,csi500_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0161,nan,nan,2026-09-11
AFS_000163,SYMBOLIC_TEMPLATE_163,"interaction(distance_to_lower_band,csi500_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,-0.0008,nan,nan,2026-09-11
AFS_000164,SYMBOLIC_TEMPLATE_164,"min(distance_to_lower_band,csi500_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0147,nan,nan,2026-09-11
AFS_000165,SYMBOLIC_TEMPLATE_165,"max(distance_to_lower_band,csi500_ret_5)",DISCOVERY_FAIL,NO_SIGNAL,0.0144,nan,nan,2026-09-11
AFS_000166,SYMBOLIC_TEMPLATE_166,"ratio(distance_to_lower_band,gap_pct)",DISCOVERY_FAIL,NO_SIGNAL,-0.0181,nan,nan,2026-09-11
AFS_000167,SYMBOLIC_TEMPLATE_167,"diff(distance_to_lower_band,gap_pct)",DISCOVERY_FAIL,NO_SIGNAL,-0.0110,nan,nan,2026-09-11
AFS_000168,SYMBOLIC_TEMPLATE_168,"interaction(distance_to_lower_band,gap_pct)",TEST_FAIL,OOS_FAIL,-0.0274,-0.0159,-0.0086,2026-09-11
AFS_000169,SYMBOLIC_TEMPLATE_169,"min(distance_to_lower_band,gap_pct)",DISCOVERY_FAIL,NO_SIGNAL,0.0188,nan,nan,2026-09-11
AFS_000170,SYMBOLIC_TEMPLATE_170,"max(distance_to_lower_band,gap_pct)",NO_KEEP_WEAK,UNSTABLE,0.0281,0.0205,0.0078,2026-09-11
AFS_000171,SYMBOLIC_TEMPLATE_171,"ratio(ret_5d,ret_20d)",TEST_FAIL,OOS_FAIL,-0.0335,0.0165,-0.0062,2026-09-11
AFS_000172,SYMBOLIC_TEMPLATE_172,"interaction(ret_5d,ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,-0.0180,nan,nan,2026-09-11
AFS_000173,SYMBOLIC_TEMPLATE_173,"min(ret_5d,ret_20d)",FDR_FAIL,MULTIPLE_TESTING_FAIL,0.0203,nan,nan,2026-09-11
AFS_000174,SYMBOLIC_TEMPLATE_174,"max(ret_5d,ret_20d)",DISCOVERY_FAIL,NO_SIGNAL,0.0180,nan,nan,2026-09-11
AFS_000175,SYMBOLIC_TEMPLATE_175,"diff(ret_5d,atr14_pct)",NO_KEEP_WEAK,UNSTABLE,0.0436,0.0469,0.0536,2026-09-11
AFS_000176,SYMBOLIC_TEMPLATE_176,"interaction(ret_5d,atr14_pct)",NO_KEEP_WEAK,UNSTABLE,0.0432,0.0460,0.0569,2026-09-11
AFS_000177,SYMBOLIC_TEMPLATE_177,"min(ret_5d,atr14_pct)",NO_KEEP_WEAK,UNSTABLE,0.0385,0.0451,0.0482,2026-09-11
AFS_000178,SYMBOLIC_TEMPLATE_178,"max(ret_5d,atr14_pct)",TEST_FAIL,OOS_FAIL,-0.0448,-0.0386,-0.0637,2026-09-11
AFS_000179,SYMBOLIC_TEMPLATE_179,"ratio(ret_5d,bb_width)",DISCOVERY_FAIL,NO_SIGNAL,0.0046,nan,nan,2026-09-11
AFS_000180,SYMBOLIC_TEMPLATE_180,"diff(ret_5d,bb_width)",NO_KEEP_WEAK,UNSTABLE,0.0307,0.1057,0.0278,2026-09-11
AFS_000181,SYMBOLIC_TEMPLATE_181,"interaction(ret_5d,bb_width)",NO_KEEP_WEAK,UNSTABLE,0.0305,0.1076,0.0260,2026-09-11
AFS_000182,SYMBOLIC_TEMPLATE_182,"min(ret_5d,bb_width)",NO_KEEP_WEAK,UNSTABLE,0.0385,0.0451,0.0482,2026-09-11
AFS_000183,SYMBOLIC_TEMPLATE_183,"max(ret_5d,bb_width)",DISCOVERY_FAIL,NO_SIGNAL,-0.0141,nan,nan,2026-09-11
AFS_000184,SYMBOLIC_TEMPLATE_184,"ratio(ret_5d,drawdown_20)",TEST_FAIL,OOS_FAIL,-0.0230,-0.0095,-0.0149,2026-09-11
AFS_000185,SYMBOLIC_TEMPLATE_185,"diff(ret_5d,drawdown_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0021,nan,nan,2026-09-11
AFS_000186,SYMBOLIC_TEMPLATE_186,"interaction(ret_5d,drawdown_20)",TEST_FAIL,OOS_FAIL,-0.0388,-0.0522,-0.0492,2026-09-11
AFS_000187,SYMBOLIC_TEMPLATE_187,"min(ret_5d,drawdown_20)",NO_KEEP_WEAK,UNSTABLE,0.0366,0.0498,0.0482,2026-09-11
AFS_000188,SYMBOLIC_TEMPLATE_188,"max(ret_5d,drawdown_20)",NO_KEEP_WEAK,UNSTABLE,0.0385,0.0451,0.0482,2026-09-11
AFS_000189,SYMBOLIC_TEMPLATE_189,"ratio(ret_5d,distance_52w_high)",TEST_FAIL,OOS_FAIL,-0.0284,0.0209,-0.0516,2026-09-11
AFS_000190,SYMBOLIC_TEMPLATE_190,"diff(ret_5d,distance_52w_high)",DISCOVERY_FAIL,NO_SIGNAL,0.0128,nan,nan,2026-09-11
