ts_code,trade_date,name,market,close,pre_close,pct_change,old_is_limit_down,correct_is_limit_down
300211.SZ,2024-04-16,*ST亿通,创业板,5.06,5.83,-13.20754716981133,1,0
300211.SZ,2024-10-09,*ST亿通,创业板,7.34,8.34,-11.990407673860915,1,0
300211.SZ,2024-12-23,*ST亿通,创业板,8.57,9.5,-9.789473684210526,1,0
300211.SZ,2025-02-28,*ST亿通,创业板,9.15,10.17,-10.029498525073743,1,0
300211.SZ,2025-03-07,*ST亿通,创业板,13.02,14.5,-10.206896551724142,1,0
300211.SZ,2025-03-25,*ST亿通,创业板,10.27,11.39,-9.83318700614575,1,0
300211.SZ,2026-07-20,*ST亿通,创业板,5.85,6.82,-14.222873900293266,1,0
300212.SZ,2021-08-16,*ST易录,创业板,30.27,34.61,-12.539728402195893,1,0
300212.SZ,2021-09-16,*ST易录,创业板,30.49,33.89,-10.032457952198293,1,0
300212.SZ,2022-04-25,*ST易录,创业板,14.28,16.47,-13.296903460837884,1,0
300212.SZ,2022-12-20,*ST易录,创业板,19.96,24.34,-17.995069843878387,1,0
300212.SZ,2023-04-10,*ST易录,创业板,40.77,45.67,-10.729143858112543,1,0
300212.SZ,2023-04-21,*ST易录,创业板,39.96,46.2,-13.506493506493511,1,0
300212.SZ,2023-05-11,*ST易录,创业板,32.5,35.98,-9.672040022234562,1,0
300212.SZ,2024-10-10,*ST易录,创业板,27.85,31.56,-11.755386565272484,1,0
300212.SZ,2024-11-01,*ST易录,创业板,26.26,29.73,-11.671712075344765,1,0
300212.SZ,2025-04-07,*ST易录,创业板,19.55,24.4,-19.877049180327866,1,0
300212.SZ,2026-04-03,*ST易录,创业板,8.72,10.74,-18.80819366852886,1,0
300212.SZ,2026-06-10,*ST易录,创业板,10.24,11.33,-9.62047661076787,1,0
300212.SZ,2026-06-25,*ST易录,创业板,8.55,9.5,-9.999999999999998,1,0
300212.SZ,2026-07-20,*ST易录,创业板,6.77,7.8,-13.205128205128213,1,0
300212.SZ,2026-08-21,*ST易录,创业板,7.67,8.69,-11.737629459148447,1,0
300213.SZ,2020-03-16,佳讯飞鸿,创业板,7.33,8.13,-9.84009840098402,1,0
300213.SZ,2020-07-16,佳讯飞鸿,创业板,7.44,8.25,-9.818181818181815,1,0
300213.SZ,2022-01-18,佳讯飞鸿,创业板,7.98,8.99,-11.234705228031139,1,0
300213.SZ,2022-04-25,佳讯飞鸿,创业板,4.93,5.48,-10.036496350364976,1,0
300213.SZ,2023-05-16,佳讯飞鸿,创业板,6.34,7.1,-10.704225352112672,1,0
300213.SZ,2023-10-11,佳讯飞鸿,创业板,7.6,8.57,-11.318553092182038,1,0
300213.SZ,2024-02-05,佳讯飞鸿,创业板,4.57,5.05,-9.504950495049492,1,0
300213.SZ,2024-02-28,佳讯飞鸿,创业板,5.75,6.36,-9.591194968553463,1,0
300213.SZ,2024-04-16,佳讯飞鸿,创业板,5.44,6.03,-9.78441127694859,1,0
300213.SZ,2024-10-09,佳讯飞鸿,创业板,7.45,8.61,-13.472706155632974,1,0
300213.SZ,2025-03-25,佳讯飞鸿,创业板,9.63,10.65,-9.577464788732392,1,0
300213.SZ,2025-04-07,佳讯飞鸿,创业板,6.86,8.53,-19.57796014067994,1,0
300214.SZ,2021-09-23,日科化学,创业板,8.79,9.86,-10.851926977687631,1,0
300214.SZ,2024-08-28,日科化学,创业板,4.44,4.98,-10.843373493975905,1,0
300214.SZ,2024-10-09,日科化学,创业板,5.13,5.87,-12.60647359454855,1,0
300214.SZ,2025-02-27,日科化学,创业板,7.56,8.39,-9.892729439809312,1,0
300214.SZ,2026-07-15,日科化学,创业板,11.58,13.4,-13.582089552238807,1,0
300214.SZ,2026-07-17,日科化学,创业板,9.61,10.71,-10.270774976657338,1,0
300214.SZ,2026-07-20,日科化学,创业板,8.53,9.61,-11.238293444328828,1,0
300214.SZ,2026-08-19,日科化学,创业板,11.36,12.65,-10.19762845849803,1,0
300215.SZ,2024-02-05,电科院,创业板,3.29,3.88,-15.20618556701031,1,0
300215.SZ,2024-04-16,电科院,创业板,3.48,3.89,-10.53984575835476,1,0
300215.SZ,2024-05-30,电科院,创业板,6.32,7.08,-10.73446327683616,1,0
300215.SZ,2024-10-09,电科院,创业板,5.65,6.63,-14.781297134238303,1,0
300215.SZ,2025-04-07,电科院,创业板,5.24,6.5,-19.38461538461538,1,0
300215.SZ,2025-04-22,电科院,创业板,5.47,6.1,-10.32786885245901,1,0
300215.SZ,2026-05-29,电科院,创业板,8.38,9.27,-9.600862998921233,1,0
300217.SZ,2020-03-06,东方电热,创业板,3.45,3.82,-9.685863874345547,1,0
300217.SZ,2020-03-09,东方电热,创业板,3.12,3.45,-9.565217391304348,1,0
300217.SZ,2020-09-09,东方电热,创业板,4.27,5.15,-17.08737864077672,1,0
300217.SZ,2020-09-10,东方电热,创业板,3.47,4.27,-18.73536299765807,1,0
300217.SZ,2020-09-24,东方电热,创业板,4.2,4.67,-10.064239828693788,1,0
300217.SZ,2022-04-25,东方电热,创业板,3.64,4.03,-9.677419354838712,1,0
300217.SZ,2024-02-05,东方电热,创业板,3.54,3.96,-10.606060606060607,1,0
300217.SZ,2024-10-09,东方电热,创业板,4.99,5.95,-16.134453781512605,1,0
300217.SZ,2025-04-07,东方电热,创业板,4.0,4.95,-19.191919191919194,1,0
300218.SZ,2022-04-25,安利股份,创业板,11.7,13.04,-10.276073619631898,1,0
300218.SZ,2024-02-05,安利股份,创业板,9.1,10.15,-10.344827586206906,1,0
300218.SZ,2024-10-09,安利股份,创业板,17.43,19.95,-12.631578947368416,1,0
300218.SZ,2025-04-07,安利股份,创业板,12.9,16.09,-19.82597886886265,1,0
300219.SZ,2022-04-25,鸿利智汇,创业板,6.74,7.56,-10.846560846560838,1,0
300219.SZ,2024-02-05,鸿利智汇,创业板,5.1,5.71,-10.683012259194403,1,0
300219.SZ,2024-10-09,鸿利智汇,创业板,7.38,8.54,-13.5831381733021,1,0
300219.SZ,2025-04-07,鸿利智汇,创业板,5.5,6.85,-19.70802919708029,1,0
300220.SZ,2020-09-10,金运激光,创业板,31.53,35.23,-10.50241271643485,1,0
300220.SZ,2020-12-10,金运激光,创业板,26.1,29.3,-10.921501706484637,1,0
300220.SZ,2020-12-11,金运激光,创业板,23.48,26.1,-10.038314176245212,1,0
300220.SZ,2021-06-11,金运激光,创业板,18.81,21.4,-12.102803738317757,1,0
300220.SZ,2021-07-27,金运激光,创业板,19.71,21.92,-10.082116788321171,1,0
300220.SZ,2021-09-09,金运激光,创业板,13.94,15.49,-10.006455777921241,1,0
300220.SZ,2021-12-02,金运激光,创业板,20.96,23.5,-10.808510638297864,1,0
300220.SZ,2021-12-27,金运激光,创业板,19.95,22.84,-12.653239929947468,1,0
300220.SZ,2022-04-25,金运激光,创业板,10.61,11.82,-10.236886632825726,1,0
300220.SZ,2023-05-04,金运激光,创业板,8.23,9.91,-16.95257315842583,1,0
300220.SZ,2024-02-05,金运激光,创业板,5.84,6.52,-10.429447852760731,1,0
300220.SZ,2024-04-15,金运激光,创业板,5.21,6.38,-18.338557993730408,1,0
300220.SZ,2024-06-03,金运激光,创业板,8.0,9.0,-11.111111111111116,1,0
300220.SZ,2024-10-09,金运激光,创业板,8.36,9.84,-15.040650406504074,1,0
300220.SZ,2024-11-18,金运激光,创业板,11.4,13.2,-13.636363636363624,1,0
300220.SZ,2025-02-18,金运激光,创业板,17.95,20.3,-11.576354679802957,1,0
300221.SZ,2020-09-09,银禧科技,创业板,6.41,7.7,-16.753246753246753,1,0
300221.SZ,2020-10-30,银禧科技,创业板,8.14,9.2,-11.52173913043477,1,0
300221.SZ,2020-12-29,银禧科技,创业板,8.0,9.16,-12.66375545851528,1,0
300221.SZ,2021-01-22,银禧科技,创业板,9.4,10.53,-10.731244064577394,1,0
300221.SZ,2021-02-04,银禧科技,创业板,7.85,8.7,-9.770114942528728,1,0
300221.SZ,2021-09-01,银禧科技,创业板,8.83,9.83,-10.172939979654117,1,0
300221.SZ,2022-04-25,银禧科技,创业板,4.73,5.28,-10.416666666666663,1,0
300221.SZ,2024-02-05,银禧科技,创业板,3.59,4.1,-12.439024390243903,1,0
300221.SZ,2024-04-16,银禧科技,创业板,5.54,6.17,-10.210696920583462,1,0
300221.SZ,2024-10-09,银禧科技,创业板,5.78,6.88,-15.988372093023251,1,0
300221.SZ,2025-04-07,银禧科技,创业板,7.09,8.8,-19.431818181818194,1,0
300221.SZ,2026-07-20,银禧科技,创业板,10.46,11.65,-10.214592274678102,1,0
300222.SZ,2020-09-03,科大智能,创业板,12.76,14.84,-14.016172506738545,1,0
300222.SZ,2021-07-01,科大智能,创业板,10.82,12.26,-11.745513866231638,1,0
