model,signal_date,horizon_days,group,n_signals,mean_fwd_return_pct,median_fwd_return_pct
Model1,2022-01-13,5,non_selected,76,1.156,1.105
Model1,2022-01-13,10,selected_Top10,10,-3.262,-2.211
Model1,2022-01-13,10,non_selected,76,-4.237,-4.007
Model1,2022-01-13,20,selected_Top10,10,-2.07,-1.939
Model1,2022-01-13,20,non_selected,76,-4.013,-4.187
Model1,2014-03-20,1,selected_Top10,1,3.586,3.586
Model1,2014-03-20,3,selected_Top10,1,3.862,3.862
Model1,2014-03-20,5,selected_Top10,1,2.759,2.759
Model1,2014-03-20,10,selected_Top10,1,4.276,4.276
Model1,2014-03-20,20,selected_Top10,1,6.759,6.759
Model1,2021-07-30,1,selected_Top10,10,4.059,4.484
Model1,2021-07-30,1,non_selected,20,2.499,2.498
Model1,2021-07-30,3,selected_Top10,10,4.046,4.411
Model1,2021-07-30,3,non_selected,20,2.602,2.917
Model1,2021-07-30,5,selected_Top10,10,2.664,2.826
Model1,2021-07-30,5,non_selected,20,1.61,1.901
Model1,2021-07-30,10,selected_Top10,10,6.454,6.758
Model1,2021-07-30,10,non_selected,20,4.463,4.536
Model1,2021-07-30,20,selected_Top10,10,-0.266,-1.056
Model1,2021-07-30,20,non_selected,20,2.45,2.598
Model1,2019-08-07,1,selected_Top10,10,1.187,1.28
Model1,2019-08-07,1,non_selected,85,0.914,0.906
Model1,2019-08-07,3,selected_Top10,10,2.139,2.221
Model1,2019-08-07,3,non_selected,85,1.547,1.411
Model1,2019-08-07,5,selected_Top10,10,1.7,1.712
Model1,2019-08-07,5,non_selected,85,1.556,1.434
Model1,2019-08-07,10,selected_Top10,10,5.367,5.185
Model1,2019-08-07,10,non_selected,85,4.441,4.628
Model1,2019-08-07,20,selected_Top10,10,8.411,8.313
Model1,2019-08-07,20,non_selected,85,7.972,7.63
Model1,2014-05-19,1,selected_Top10,7,0.056,-0.068
Model1,2014-05-19,3,selected_Top10,7,1.084,0.969
Model1,2014-05-19,5,selected_Top10,7,2.014,2.179
Model1,2014-05-19,10,selected_Top10,7,1.843,2.031
Model1,2014-05-19,20,selected_Top10,7,3.658,3.632
Model1,2022-09-08,1,selected_Top10,9,0.671,0.515
Model1,2022-09-08,3,selected_Top10,9,0.213,-0.385
Model1,2022-09-08,5,selected_Top10,9,-2.044,-2.921
Model1,2022-09-08,10,selected_Top10,9,-6.256,-7.268
Model1,2022-09-08,20,selected_Top10,9,-6.972,-7.732
Model1,2024-07-09,1,selected_Top10,6,-0.76,-0.7
Model1,2024-07-09,3,selected_Top10,6,1.703,1.75
Model1,2024-07-09,5,selected_Top10,6,0.652,0.672
Model1,2024-07-09,10,selected_Top10,6,-1.012,-0.931
Model1,2024-07-09,20,selected_Top10,6,-0.944,-1.0
