model,trade_id,index_key,etf,entry_date,entry_fill,first_mid_touch_date,mid_touch_close_adj,return_from_entry_to_mid_pct,holding_days_to_mid
Model2,41,980086.CNI,159992.SZ,2020-09-08,1.37,2020-10-09,1.35,-1.46,31
Model2,42,980086.CNI,159992.SZ,2020-10-26,1.281,2020-10-29,1.377,7.49,3
Model2,43,399967.SZ,512660.SH,2021-02-01,1.191,2021-02-25,1.199,0.67,24
Model2,44,399324.SZ,159905.SZ,2021-06-15,2.684,2021-08-10,2.449,-8.76,56
Model2,45,399995.SZ,516970.SH,2021-10-12,1.154,2021-11-23,1.118,-3.12,42
Model2,46,399989.SZ,512170.SH,2021-12-07,0.6880000000000001,2021-12-09,2.2271,3.78,2
Model2,47,399995.SZ,516970.SH,2022-06-23,1.151,2022-06-28,1.17,1.65,5
Model2,48,399971.SZ,512980.SH,2022-07-13,0.605,2022-07-21,0.621,2.64,8
Model2,49,000827.SH,512580.SH,2022-12-15,1.382,2023-01-05,1.384,0.14,21
Model2,50,980086.CNI,159992.SZ,2023-02-17,0.985,2023-04-07,0.965,-2.03,49
Model2,51,399432.SZ,515250.SH,2023-04-21,0.899,2023-05-19,0.832,-7.45,28
Model2,52,399673.SZ,159949.SZ,2023-06-08,0.894,2023-06-15,0.947,5.93,7
Model2,53,980086.CNI,159992.SZ,2023-08-08,0.792,2023-08-29,0.807,1.89,21
Model2,54,399282.SZ,515400.SH,2023-09-20,0.796,2023-10-11,0.833,4.65,21
Model2,55,000300.SH,510300.SH,2023-11-28,3.579,2023-12-28,4.1257,-2.51,30
Model2,56,399437.SZ,159993.SZ,2024-03-29,0.902,2024-04-26,0.928,2.88,28
Model2,57,980086.CNI,159992.SZ,2024-05-27,0.669,2024-07-12,0.622,-7.03,46
Model2,58,399324.SZ,159905.SZ,2024-07-24,1.734,2024-08-23,1.714,-1.15,30
Model2,59,399995.SZ,516970.SH,2024-09-02,0.945,2024-09-24,0.927,-1.9,22
Model2,60,980086.CNI,159992.SZ,2024-11-19,0.717,2024-11-20,0.745,3.91,1
Model2,61,980086.CNI,159992.SZ,2024-12-18,0.726,2025-01-20,0.684,-5.79,33
Model2,62,399998.SZ,515220.SH,2025-02-19,1.017,2025-03-13,2.3553,2.85,22
Model2,63,399432.SZ,515250.SH,2025-03-24,1.039,2025-04-29,0.932,-10.3,36
Model2,64,000126.SH,515650.SH,2025-06-04,1.169,2025-07-03,1.145,-2.05,29
Model2,65,399986.SZ,512800.SH,2025-09-02,0.8260000000000001,2025-10-14,1.6111,-2.42,42
Model2,66,399282.SZ,515400.SH,2025-11-12,0.964,2025-12-26,0.923,-4.25,44
Model2,67,399986.SZ,512800.SH,2026-01-19,0.787,2026-02-05,1.5831,0.64,17
Model2,68,980018.SZ,159206.SZ,2026-03-16,1.688,2026-04-08,1.673,-0.89,23
Model2,69,980092.SZ,159201.SZ,2026-05-19,1.259,2026-07-14,1.113,-11.6,56
Model2,70,399007.SZ,159912.SZ,2012-03-26,0.921,2012-04-12,0.922,0.11,17
Model2,71,000016.SH,510190.SH,2015-06-19,4.865,2015-07-13,4.349,-10.61,24
Model2,72,000852.SH,512100.SH,2026-07-21,2.827,2026-08-05,1.1308,7.36,15
