date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2022-09-29,EXIT_MIDLINE,399989.SZ,512170.SH,401100,0.47500000000000003,190522.5,47.630625,190478.7653249997,2,-9713.130424999968,35.0
2022-10-11,ENTRY,399967.SZ,512660.SH,178600,1.066,190387.6,47.596900000000005,43.568424999684794,1,,
2022-10-17,EXIT_MIDLINE,399967.SZ,512660.SH,178600,1.141,203782.6,50.94565,203775.22277499968,1,13296.457450000002,6.0
2022-10-18,EXIT_MIDLINE,000300.SH,510300.SH,99600,3.919,390332.4,97.5831,594010.0396749997,2,-5634.52569999996,29.0
2022-10-20,ENTRY,399987.SZ,512690.SH,272100,0.735,199993.5,49.998375,393966.5412999997,1,,
2022-10-20,ENTRY,399324.SZ,159905.SZ,112200,1.782,199940.4,49.9851,193976.1561999997,1,,
2022-10-24,ADD,399324.SZ,159905.SZ,109700,1.7670000000000001,193839.90000000002,48.45997500000001,87.79622499967809,2,,
2022-10-25,ADD,399987.SZ,512690.SH,100,0.685,68.5,5.0,14.296224999678088,2,,
2022-11-04,EXIT_MIDLINE,399987.SZ,512690.SH,272200,0.727,197889.4,49.47235,197854.22387499968,2,-2277.0707249999896,15.0
2022-11-09,EXIT_MIDLINE,399324.SZ,159905.SZ,221900,1.72,381668.0,95.417,579426.8068749997,2,-12306.162075000013,20.0
2022-11-29,ENTRY,399282.SZ,515400.SH,273500,0.731,199928.5,49.982125,379448.3247499997,1,,
2022-12-01,EXIT_MIDLINE,399282.SZ,515400.SH,273500,0.754,206219.0,51.55475,585615.7699999997,1,6188.963125000003,2.0
2022-12-14,ENTRY,000827.SH,512580.SH,143400,1.3940000000000001,199899.6,49.974900000000005,385666.19509999966,1,,
2022-12-20,ENTRY,000852.SH,512100.SH,78100,2.5580000000000003,199779.80000000002,49.944950000000006,185836.45014999964,1,,
2022-12-22,ADD,000852.SH,512100.SH,73500,2.5260000000000002,185661.00000000003,46.41525000000001,129.0348999996204,2,,
2023-01-04,EXIT_MIDLINE,000852.SH,512100.SH,151600,2.567,389157.2,97.28930000000001,389188.9455999996,2,3522.750499999923,15.0
2023-01-05,EXIT_MIDLINE,000827.SH,512580.SH,143400,1.375,197175.0,49.29375,586314.6518499996,1,-2823.8686499999985,22.0
2023-02-07,ENTRY,399986.SZ,512800.SH,185500,1.078,199969.0,49.99225,386295.65959999955,1,,
