date,open_positions,cash,equity,invested_pct,n_entries,n_exits,eligible_count,n_signal,n_amount_pos,signal_ratio,cash_pct
2016-08-26,3,23.30113922948658,478566.90113922954,0.9999513105917396,0,0,69,1,69,0.014492753623188406,4.868940826041612e-05
2016-08-29,3,23.30113922948658,480864.7011392295,0.9999515432528645,0,0,67,1,67,0.014925373134328358,4.845674713549464e-05
2016-08-30,3,23.30113922948658,479868.1011392295,0.9999514426168895,0,0,69,0,69,0.0,4.85573831104924e-05
2016-08-31,3,23.30113922948658,479754.0011392295,0.9999514310684764,0,0,68,0,68,0.0,4.8568931523607084e-05
2016-09-01,3,23.30113922948658,476644.1011392295,0.999951114176859,0,0,67,0,67,0.0,4.888582314099832e-05
2016-09-02,3,23.30113922948658,474647.4011392295,0.9999509085287867,0,0,67,0,67,0.0,4.9091471213347226e-05
2016-09-05,3,23.30113922948658,475752.2011392295,0.9999510225298512,0,0,69,0,69,0.0,4.897747014875886e-05
2016-09-06,3,23.30113922948658,484202.3011392295,0.9999518772645758,0,0,70,0,70,0.0,4.812273542420531e-05
2016-09-07,3,23.30113922948658,481867.50113922945,0.9999516440947471,0,0,70,0,70,0.0,4.835590525287259e-05
2016-09-08,3,23.30113922948658,484139.7011392295,0.9999518710422329,0,0,67,0,67,0.0,4.812895776706849e-05
2016-09-09,3,23.30113922948658,480042.2011392295,0.9999514602275087,0,0,69,0,69,0.0,4.8539772491307254e-05
2016-09-12,3,23.30113922948658,467426.7011392295,0.9999501501750484,0,0,70,38,70,0.5428571428571428,4.984982495159773e-05
2016-09-13,3,23.30113922948658,468169.5011392295,0.9999502292670223,0,0,69,27,69,0.391304347826087,4.9770732977738597e-05
2016-09-14,3,23.30113922948658,466737.2011392295,0.9999500765330627,0,0,68,30,68,0.4411764705882353,4.992346693732941e-05
2016-09-19,3,23.30113922948658,470783.3011392295,0.9999505055953065,0,0,67,1,67,0.014925373134328358,4.9494404693484206e-05
2016-09-20,3,23.30113922948658,469656.7011392295,0.9999503868694454,0,0,65,4,65,0.06153846153846154,4.961313055462657e-05
2016-09-21,3,23.30113922948658,470700.9011392295,0.9999504969309106,0,0,66,1,66,0.015151515151515152,4.950306908935165e-05
2016-09-22,3,23.30113922948658,472369.3011392295,0.9999506717748734,0,0,69,0,69,0.0,4.932822512659918e-05
2016-09-23,3,23.30113922948658,471573.6011392295,0.999950588541909,0,0,67,1,67,0.014925373134328358,4.9411458091008775e-05
2016-09-26,3,23.30113922948658,462763.6011392295,0.9999496478565467,0,0,67,10,67,0.14925373134328357,5.035214345328054e-05
2016-09-27,3,23.30113922948658,465814.3011392295,0.9999499776216133,0,0,68,6,68,0.08823529411764706,5.0022378386693767e-05
