date,eligible_count,n_signal,open_positions,n_entries,n_exits,invested_pct
2014-10-24,10,0,1,0,0,0.20845605250795393
2014-10-27,10,6,1,0,0,0.20845605250795393
2014-10-28,9,0,3,2,0,0.9998367409809191
2014-10-29,9,0,3,0,0,0.9998384128358161
2014-10-30,9,0,3,0,0,0.9998392590461367
2014-10-31,9,0,1,0,2,0.20026201067213004
2014-11-03,9,0,1,0,0,0.20026201067213004
2014-11-04,9,0,1,0,0,0.20026201067213004
2014-11-05,9,0,1,0,0,0.20026201067213004
2014-11-06,9,0,1,0,0,0.20026201067213004
2014-11-07,9,0,1,0,0,0.20026201067213004
2014-11-10,10,0,1,0,0,0.20026201067213004
2014-11-11,10,2,1,0,0,0.20026201067213004
2014-11-12,11,0,3,2,0,0.9994613025028488
2014-11-13,11,2,3,0,0,0.9994518206680792
2014-11-14,11,1,3,1,0,0.9997444195558507
2014-11-17,11,0,3,0,0,0.9997472184520975
2014-11-18,11,0,3,0,0,0.9997479735658324
