ts_code,sig_date,entry_date,cash_A1,invested_A1,npos_A1,layers_A1,hold_A1,av_cash_layer,npos_A0
601318.SH,2024-03-22,2024-03-25 00:00:00,1082422.446056373,1252.2584724600001,1,1,23,5.412112230281865,0
000628.SZ,2024-03-29,2024-04-01 00:00:00,286112.15119629295,797562.55333254,3,2,31,1.4305607559814648,2
002129.SZ,2024-01-30,2024-01-31 00:00:00,1780.6781572227846,1184416.9598911398,7,3,69,0.008903390786113923,3
000977.SZ,2024-05-28,2024-05-29 00:00:00,375071.088799383,604768.24087179,3,1,28,1.8753554439969151,2
000625.SZ,2024-05-06,2024-05-07 00:00:00,207313.87146381295,885153.8021375999,3,1,45,1.0365693573190646,2
000725.SZ,2024-05-28,2024-05-29 00:00:00,375071.088799383,604768.24087179,3,1,29,1.8753554439969151,2
603019.SH,2024-03-27,2024-03-28 00:00:00,684693.8354970929,398980.86903174,2,2,73,3.4234691774854644,1
601919.SH,2024-07-12,2024-07-15 00:00:00,377700.4694033431,605686.3965302099,2,1,47,1.8885023470167155,1
601138.SH,2024-07-18,2024-07-19 00:00:00,563927.0491839033,406868.14922252996,2,1,45,2.819635245919516,1
601899.SH,2024-07-23,2024-07-24 00:00:00,363915.2996463033,606879.8987601299,3,1,43,1.8195764982315163,2
000100.SZ,2024-05-07,2024-05-08 00:00:00,8228.287666712975,1084239.3859346998,4,4,99,0.04114143833356487,3
600150.SH,2024-09-20,2024-09-23 00:00:00,191684.27294324338,771566.9948386298,3,2,57,0.958421364716217,2
600418.SH,2024-11-27,2024-11-28 00:00:00,569407.7066895835,387250.42193837994,1,1,23,2.8470385334479174,1
